Filename,X_fs [m],Y_fs [m],Z_fs [m],Wtref_fs [m/s],Avg_c_star [-],Avg_net_concentration [ppmV],Avg_full_scale_concentration [ppmV],Percentiles 95_cstar,Percentiles 95_net_concentration,percentiles95_full_scale_concentration,Peak2MeanRatio_cstar,Peak2MeanRatio_net_conc,Peak2MeanRatio_full_scale_conc
_stats_UBA_thesis_001.ts#2,10.0,0.0,2.0,5.0,0.0143,63.8538,1188.897,0.0374,166.5868,3101.6897,13.6315,13.6315,13.6315
_stats_UBA_thesis_064.ts#0,10.0,0.0,2.0,5.0,0.0135,71.1789,1120.6902,0.0351,184.9992,2912.7563,13.4801,13.4801,13.4801
