Filename,X_fs [m],Y_fs [m],Z_fs [m],Wtref_fs [m/s],Avg_c_star [-],Avg_net_concentration [ppmV],Avg_full_scale_concentration [ppmV],Percentiles 95_cstar,Percentiles 95_net_concentration,percentiles95_full_scale_concentration,Peak2MeanRatio_cstar,Peak2MeanRatio_net_conc,Peak2MeanRatio_full_scale_conc
_stats_UBA_GA_02_04_01_000_1_001.txt.ts#0,408.0,0.0,2.0,10.0,0.0008,57.8003,0.1349,0.0023,161.69,0.3773,20.796,20.796,20.796
_stats_UBA_GA_02_04_01_000_1_001.txt.ts#1,408.0,0.0,2.0,10.0,0.0008,57.6863,0.1347,0.0024,173.6343,0.4054,13.5067,13.5067,13.5067
_stats_UBA_GA_02_04_01_000_1_001.txt.ts#2,408.0,0.0,2.0,10.0,0.0007,52.0287,0.1216,0.0022,158.6634,0.3707,15.2856,15.2856,15.2856
_stats_UBA_GA_02_04_01_000_1_001.txt.ts#3,408.0,0.0,2.0,10.0,0.0007,47.4125,0.1108,0.002,143.8288,0.3361,17.1801,17.1801,17.1801
_stats_UBA_GA_02_04_01_000_1_001.txt.ts#4,408.0,0.0,2.0,10.0,0.0006,43.6775,0.1021,0.0018,126.0515,0.2947,16.6038,16.6038,16.6038
_stats_UBA_GA_02_04_01_000_1_001.txt.ts#5,408.0,0.0,2.0,10.0,0.0006,41.8073,0.0978,0.0016,112.2488,0.2626,14.1165,14.1165,14.1165
