DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:37:16
-2050.000 mm;0.000 mm;50.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	0.917	16.2	2.938	0.002
2	1.131	18.5	2.898	0.045
3	14.903	19.9	3.261	0.237
4	24.373	8.8	3.323	0.117
5	24.841	17.1	3.531	0.143
6	33.565	10.0	3.931	0.417
7	34.596	7.7	3.860	0.569
8	34.630	11.4	3.705	0.488
9	40.383	16.5	3.588	0.840
10	60.689	16.2	2.315	0.772
11	62.824	19.9	2.739	0.360
12	65.075	12.8	3.082	0.044
13	70.240	16.8	3.040	0.001
14	77.148	11.9	3.022	-0.113
15	88.731	11.9	3.451	0.060
16	91.228	14.2	4.245	0.038
17	99.410	8.2	3.487	-0.548
18	100.230	9.4	3.591	-0.263
19	109.120	15.6	3.639	0.069
20	115.122	15.9	3.860	-0.047
21	119.073	10.5	4.441	-0.054
22	120.038	7.1	4.351	-0.076
23	121.933	11.9	4.343	0.044
24	123.524	7.7	4.411	-0.102
25	129.387	3.4	4.125	0.044
26	129.610	12.2	3.896	0.009
27	131.290	11.1	3.848	-0.109
28	132.175	8.2	4.194	0.142
29	133.318	16.2	3.992	0.097
30	146.336	12.8	3.833	0.142
31	150.851	14.8	3.952	-0.256
32	150.946	14.2	3.976	-0.183
33	158.608	14.8	3.969	-0.145
34	161.011	7.1	3.823	-0.066
35	161.165	8.0	3.914	-0.111
36	172.331	9.7	4.240	-0.318
37	177.336	17.9	4.144	-0.403
38	179.941	9.7	3.945	-0.239
39	182.262	15.1	4.250	-0.391
40	185.573	7.7	4.476	-0.327
41	187.891	15.1	4.297	-0.142
42	188.645	13.4	4.171	-0.190
43	190.850	12.5	3.998	-0.264
44	194.214	8.5	4.037	-0.272
45	196.617	14.5	4.203	-0.069
46	198.490	12.5	4.724	0.129
47	199.256	8.2	4.509	-0.248
48	204.930	9.4	4.424	-0.023
49	207.843	8.8	3.837	0.196
50	212.727	9.4	4.116	0.233
51	225.855	11.9	3.764	-0.136
52	228.364	15.1	3.881	-0.011
53	234.061	4.0	3.616	-0.082
54	234.113	14.2	3.689	-0.116
55	237.600	13.1	3.771	0.032
56	255.277	15.4	3.648	-0.529
57	264.556	9.1	3.928	-0.154
58	264.712	9.1	3.850	-0.138
59	270.554	18.5	3.468	-0.290
60	270.604	14.8	3.473	-0.224
61	276.991	20.2	3.253	0.369
62	279.045	16.5	3.300	0.378
63	281.623	20.5	3.680	-0.193
64	284.506	18.5	3.389	0.113
65	286.659	11.9	3.305	0.006
66	286.968	23.3	3.394	-0.040
67	296.464	20.8	3.109	-0.004
68	299.622	20.8	2.930	-0.077
69	305.973	11.9	3.379	0.130
70	306.229	15.4	3.398	0.136
71	308.992	16.8	3.219	0.029
72	324.114	20.8	2.888	-0.001
73	326.978	21.0	2.677	0.134
74	329.487	12.8	2.930	0.173
75	330.116	19.6	2.957	0.140
76	330.810	9.7	2.727	0.145
77	337.641	21.0	2.087	0.429
78	346.174	18.5	2.724	0.312
79	350.787	20.5	3.149	0.186
80	359.141	18.5	2.532	-0.134
81	361.860	26.2	1.797	0.902
82	380.370	19.1	2.667	-0.143
83	387.504	18.2	2.934	0.028
84	391.055	14.2	2.675	0.060
85	391.700	12.2	2.529	0.103
86	396.203	4.6	2.335	0.239
87	407.247	27.0	2.347	0.161
88	408.139	26.5	2.385	0.047
89	415.294	14.2	2.709	-0.303
90	416.684	27.0	2.561	-0.221
91	444.469	11.1	2.306	0.372
92	445.663	20.2	2.407	0.359
93	447.776	19.1	2.243	0.608
94	451.747	21.9	2.286	0.557
95	451.982	25.0	2.250	0.818
96	452.925	13.7	1.932	0.940
97	454.131	28.2	1.461	1.346
98	459.341	22.8	1.670	1.271
99	467.638	27.9	1.524	0.915
100	480.136	24.2	1.501	0.145
101	498.343	29.6	1.830	0.325
102	514.592	18.8	2.063	0.345
103	522.950	21.0	1.673	0.491
104	548.288	32.1	1.567	0.347
105	600.455	33.0	1.459	0.350
106	611.873	23.3	1.480	0.202
107	619.389	30.2	1.701	0.720
108	630.113	2.8	2.313	0.471
109	643.428	31.3	1.888	0.190
110	660.283	28.2	1.448	0.384
111	665.424	24.7	1.850	0.169
112	675.340	24.5	1.887	0.360
113	698.823	30.4	2.146	0.118
114	710.922	28.4	1.269	0.201
115	715.360	30.7	1.813	0.010
116	728.362	31.0	1.576	0.183
117	728.895	25.3	1.573	0.202
118	782.994	40.1	1.533	0.090
119	786.202	26.5	2.193	0.252
120	787.410	35.3	2.200	0.006
121	790.255	17.4	2.039	-0.000
122	796.418	30.7	1.416	-0.202
123	817.160	27.6	1.638	0.418
124	836.781	9.1	2.804	-0.115
125	837.993	11.1	2.987	-0.461
126	840.950	14.2	3.595	0.631
127	843.019	16.2	3.311	0.297
128	845.091	12.8	3.208	0.382
129	845.249	15.4	3.208	0.340
130	872.215	13.1	2.851	0.088
131	876.961	12.5	3.759	-0.290
132	877.369	15.1	3.770	-0.499
133	882.725	9.4	3.865	-0.204
134	883.806	13.1	3.854	-0.115
135	886.748	20.8	3.708	-0.486
136	888.397	20.5	3.540	-0.476
137	895.623	15.4	3.685	-0.088
138	896.854	13.4	3.480	-0.009
139	900.109	7.7	3.006	-0.189
140	919.826	17.6	3.011	-0.098
141	927.865	20.8	2.790	-0.089
142	928.583	16.5	2.920	-0.509
143	940.487	21.6	2.839	0.059
144	942.182	17.4	2.967	0.053
145	943.208	12.2	3.002	0.159
146	943.547	23.9	3.025	0.092
147	944.202	8.8	2.920	0.018
148	945.739	16.5	2.733	0.272
149	952.326	29.9	2.348	0.055
150	953.270	26.5	2.216	0.222
151	959.315	17.1	2.232	0.269
152	964.746	24.7	2.323	0.429
153	966.541	15.9	2.494	0.395
154	970.329	22.2	2.113	0.492
155	971.047	26.2	1.983	0.418
156	972.809	18.5	2.008	0.406
157	975.060	19.3	2.080	0.379
158	978.995	27.0	2.240	0.404
159	980.874	13.9	3.024	-0.344
160	981.981	9.7	3.403	-0.364
161	983.247	17.6	3.148	-0.400
162	984.530	18.8	2.984	-0.429
163	992.648	20.5	3.254	-0.142
164	1010.091	19.9	2.915	0.250
165	1011.264	14.5	3.240	0.115
166	1019.368	28.2	2.852	-0.209
167	1036.504	12.8	3.442	0.347
168	1037.553	13.4	3.356	-0.015
169	1044.489	8.8	3.440	-0.075
170	1048.072	15.6	3.669	0.163
171	1048.509	11.4	3.840	-0.076
172	1055.055	14.5	3.581	0.097
173	1065.928	19.3	2.608	0.037
174	1067.424	15.6	2.456	-0.136
175	1071.377	17.9	3.277	-0.003
176	1094.833	21.9	3.347	0.474
177	1097.296	16.8	3.455	0.629
178	1099.403	12.5	3.477	0.059
179	1108.813	17.4	3.006	0.150
180	1110.111	11.7	3.419	-0.177
181	1112.081	10.8	3.515	-0.101
182	1115.498	10.2	3.928	-0.376
183	1118.174	13.9	4.206	-0.182
184	1132.119	13.4	3.828	-0.013
185	1134.472	9.7	3.883	-0.157
186	1136.554	14.8	3.791	0.396
187	1145.406	11.9	3.491	0.188
188	1159.450	17.9	3.544	-0.218
189	1171.420	13.1	3.296	-0.390
190	1206.215	14.8	3.144	-0.015
191	1227.647	30.4	2.046	-0.278
192	1227.720	13.7	2.034	-0.341
193	1242.926	20.5	2.292	-0.024
194	1244.408	17.1	2.526	-0.046
195	1251.050	16.8	2.302	0.465
196	1254.788	24.7	2.084	-0.108
197	1254.913	18.8	2.156	-0.013
198	1261.650	32.1	2.323	0.498
199	1266.033	30.2	2.223	0.833
200	1274.025	32.7	2.014	0.249
201	1279.979	17.4	2.123	0.598
202	1281.862	15.6	2.279	0.152
203	1288.226	23.9	2.312	0.149
204	1293.191	20.5	2.986	-0.083
205	1298.875	22.8	2.925	-0.259
206	1301.038	17.4	3.032	-0.397
207	1305.691	20.2	3.148	-0.329
208	1320.312	22.5	2.983	-0.212
209	1324.730	26.5	3.218	-0.174
210	1324.979	16.2	3.165	-0.182
211	1327.373	19.6	3.243	-0.141
212	1338.561	8.0	3.728	-0.101
213	1341.004	6.3	3.327	0.082
214	1347.594	15.1	3.033	0.223
215	1349.117	15.9	3.152	0.813
216	1352.284	17.9	3.172	0.310
217	1357.481	12.5	3.458	0.388
218	1358.503	16.2	3.482	0.305
219	1364.182	13.9	3.229	0.305
220	1364.684	21.6	3.183	0.470
221	1365.165	14.8	3.147	0.309
222	1368.691	15.9	3.196	0.142
223	1373.057	15.9	2.962	0.160
224	1377.922	15.4	2.806	0.021
225	1383.172	19.1	2.578	0.048
226	1383.374	13.1	2.612	0.074
227	1394.016	13.9	2.707	0.540
228	1407.233	27.0	2.203	0.232
229	1410.090	39.8	1.626	0.615
230	1415.958	18.8	2.186	0.569
231	1416.208	17.1	2.050	0.571
232	1430.352	20.5	2.563	0.130
233	1430.655	12.8	2.597	0.183
234	1432.183	21.3	2.549	0.140
235	1437.841	29.6	1.844	0.496
236	1441.911	23.3	2.133	0.565
237	1454.649	35.3	2.057	0.518
238	1456.687	16.2	2.005	0.346
239	1463.840	20.8	2.325	0.537
240	1464.325	20.5	2.139	0.454
241	1467.413	29.6	1.922	0.688
242	1469.339	11.1	1.857	0.808
243	1474.593	29.9	1.804	0.034
244	1484.592	15.1	2.100	1.015
245	1495.681	21.6	1.429	0.005
246	1499.547	15.4	1.943	-0.877
247	1528.788	9.4	3.290	-0.001
248	1530.135	11.7	3.063	-0.272
249	1544.629	18.2	2.968	0.273
250	1552.195	18.5	2.963	-0.085
251	1561.886	9.7	3.532	-0.217
252	1562.125	10.2	3.743	-0.304
253	1574.028	15.4	3.133	0.190
254	1575.243	16.2	3.128	0.334
255	1579.365	17.9	3.359	0.205
256	1582.378	12.5	3.749	0.378
257	1583.353	13.1	3.787	0.408
258	1592.773	13.7	3.477	-0.305
259	1609.792	13.1	3.643	0.372
260	1611.386	6.3	3.672	-0.291
261	1618.979	18.2	3.479	0.108
262	1619.451	15.9	3.537	0.390
263	1619.762	8.5	3.685	0.329
264	1623.998	13.1	3.080	0.132
265	1630.971	19.6	3.247	-0.028
266	1634.037	15.6	3.284	0.184
267	1656.323	11.9	3.591	0.047
268	1664.221	11.7	4.601	-0.719
269	1664.617	7.1	4.443	-0.328
270	1670.991	19.3	1.975	1.193
271	1676.578	19.6	3.494	0.328
272	1679.788	19.9	2.707	0.276
273	1682.380	15.4	3.283	-0.072
274	1687.743	17.9	3.225	-0.935
275	1688.683	10.5	3.303	-0.793
276	1698.371	13.4	3.613	-0.916
277	1704.175	15.4	3.342	-0.726
278	1722.710	23.9	2.627	-0.577
279	1732.961	8.8	2.737	0.191
280	1733.115	17.6	2.638	-0.035
281	1740.587	22.8	2.697	0.294
282	1742.179	15.9	2.789	0.495
283	1748.782	20.5	3.096	0.398
284	1788.994	15.1	2.415	-0.214
285	1797.564	12.5	2.367	-0.245
286	1816.166	13.7	2.883	-0.496
287	1817.943	19.1	2.528	-0.706
288	1821.022	11.1	2.652	-0.111
289	1827.039	29.6	2.039	0.113
290	1828.135	25.0	2.150	-0.007
291	1832.953	33.6	2.068	0.174
292	1863.368	19.3	2.394	-0.170
293	1872.270	24.2	1.884	0.309
294	1887.050	24.5	1.897	0.416
295	1893.943	28.2	1.841	0.543
296	1918.345	20.8	2.913	-0.111
297	1932.222	10.0	3.185	-0.031
298	1933.002	14.2	3.080	-0.039
299	1933.387	8.5	2.901	-0.001
300	1935.022	10.8	2.842	-0.060
301	1937.095	5.7	2.901	-0.189
302	1940.100	17.4	3.254	0.234
303	1946.590	14.8	3.558	-0.097
304	1949.336	8.2	3.731	0.154
305	1950.433	11.7	3.346	0.283
306	1959.186	21.3	3.001	0.038
307	1960.191	10.8	3.272	0.266
308	1963.292	12.5	3.036	0.157
309	1974.968	14.5	2.998	0.101
310	1989.043	31.0	2.568	-0.448
311	1989.266	11.7	2.593	-0.423
312	1993.274	14.2	2.584	-0.274
313	2000.745	13.1	2.870	-0.509
314	2004.093	19.9	2.848	-0.337
315	2010.674	13.7	2.964	-0.217
316	2011.537	12.8	2.860	-0.053
317	2012.826	22.8	2.871	0.012
318	2016.165	24.5	2.673	0.141
319	2016.771	14.5	2.610	0.232
320	2022.348	22.5	2.721	-0.232
321	2026.091	24.5	2.617	0.170
322	2029.039	18.8	2.626	0.096
323	2030.808	23.9	2.653	0.426
324	2041.845	15.4	2.159	0.020
325	2065.348	15.9	2.370	0.416
326	2080.486	26.7	2.314	-0.008
327	2086.934	13.4	2.098	0.126
328	2089.584	29.9	1.922	0.406
329	2093.586	21.9	2.144	0.451
330	2118.929	19.6	2.421	0.357
331	2120.001	24.7	2.535	0.026
332	2121.027	22.8	2.460	-0.161
333	2130.394	19.6	3.012	-0.184
334	2132.148	15.4	2.957	-0.044
335	2133.337	10.2	3.034	-0.135
336	2139.161	23.9	2.718	0.206
337	2146.221	17.6	2.704	-0.028
338	2156.215	28.4	2.459	-0.296
339	2173.551	20.5	2.682	0.119
340	2175.774	16.2	2.734	-0.072
341	2177.681	24.7	2.818	-0.431
342	2178.586	17.6	2.813	-0.353
343	2179.052	20.8	3.007	-0.504
344	2179.529	17.4	3.103	-0.353
345	2180.389	14.5	3.147	-0.553
346	2189.684	23.9	2.390	0.012
347	2192.647	17.4	2.609	0.059
348	2194.281	22.8	2.510	0.137
349	2207.452	15.1	2.308	0.277
350	2214.038	17.1	2.636	0.222
351	2220.611	25.9	2.301	0.261
352	2223.995	23.6	2.220	0.331
353	2231.809	21.3	2.839	-0.138
354	2239.220	5.4	3.136	0.026
355	2239.545	8.2	3.164	-0.034
356	2258.738	12.5	3.258	0.382
357	2259.218	19.9	3.040	0.349
358	2260.728	8.0	3.352	-0.127
359	2268.111	14.8	3.390	0.358
360	2271.195	8.5	3.511	0.252
361	2275.065	13.9	3.429	0.112
362	2275.163	8.2	3.396	0.037
363	2278.267	17.1	3.295	-0.286
364	2286.670	19.6	3.082	-0.176
365	2294.210	21.6	3.036	-0.499
366	2300.119	21.3	2.632	0.021
367	2303.314	11.4	2.703	-0.102
368	2313.426	29.0	2.589	-0.195
369	2316.455	6.3	2.694	-0.269
370	2323.576	18.2	2.662	-0.642
371	2331.695	16.5	2.698	-0.444
372	2339.409	22.2	2.697	-0.343
373	2344.490	24.5	2.750	-0.374
374	2354.889	14.8	3.285	-0.170
375	2356.855	22.2	2.988	-0.080
376	2361.218	15.6	2.763	0.239
377	2366.741	21.6	2.952	0.139
378	2370.185	22.2	3.146	0.112
379	2372.558	12.8	3.111	-0.060
380	2385.032	19.6	2.774	-0.255
381	2392.055	23.9	2.878	-0.182
382	2397.987	21.3	2.694	-0.411
383	2398.551	13.7	2.630	-0.484
384	2401.135	21.0	2.786	-0.143
385	2402.092	17.4	2.866	0.350
386	2402.266	13.7	2.785	0.285
387	2416.045	19.9	3.178	-0.038
388	2421.170	13.4	3.534	0.197
389	2424.610	23.6	2.924	0.353
390	2435.063	18.2	2.828	-0.589
391	2449.233	13.9	3.001	0.265
392	2455.911	14.2	3.083	0.127
393	2459.389	10.8	2.869	0.060
394	2466.510	20.2	2.603	-0.266
395	2468.195	19.9	2.489	0.436
396	2473.967	19.1	2.355	0.001
397	2482.749	15.6	2.344	0.602
398	2493.253	12.2	2.988	-0.337
399	2494.222	16.8	3.013	-0.241
400	2494.945	22.8	3.013	-0.242
401	2504.095	14.8	2.820	-0.207
402	2504.206	28.2	2.844	-0.240
403	2505.928	17.9	3.009	-0.373
404	2507.931	21.9	3.081	-0.310
405	2509.532	15.9	3.001	-0.497
406	2509.982	15.4	3.102	-0.657
407	2514.598	25.3	2.784	0.500
408	2522.581	30.2	2.519	0.104
409	2566.862	17.4	3.019	-0.064
410	2578.827	18.5	2.706	0.250
411	2592.227	16.5	2.938	0.445
412	2594.829	19.6	2.869	0.470
413	2603.962	19.3	2.530	0.351
414	2604.362	18.5	2.489	0.310
415	2611.692	21.6	2.297	0.892
416	2612.186	14.2	2.203	0.908
417	2612.327	21.9	2.208	0.916
418	2613.117	17.4	2.133	0.896
419	2615.042	17.1	2.105	0.618
420	2619.965	29.6	2.611	0.426
421	2624.708	27.0	2.310	0.401
422	2624.943	29.9	2.371	0.374
423	2625.489	8.8	2.335	0.303
424	2626.111	22.8	2.240	0.185
425	2635.234	23.0	2.396	0.338
426	2648.728	17.6	2.091	0.164
427	2650.843	33.6	1.715	0.063
428	2653.206	34.7	1.824	-0.019
429	2664.138	43.0	1.867	-0.272
430	2680.584	48.9	1.477	0.795
431	2691.141	44.1	1.497	0.360
432	2727.425	15.1	2.444	-0.230
433	2751.864	19.6	2.259	0.596
434	2758.923	15.6	1.785	0.379
435	2772.674	29.6	1.843	0.228
436	2774.953	27.3	1.994	0.143
437	2782.535	30.4	2.192	-0.008
438	2784.540	29.0	2.316	-0.013
439	2785.441	27.9	2.229	-0.021
440	2792.604	22.8	2.020	-0.360
441	2808.956	7.4	2.548	-0.086
442	2811.274	21.9	2.839	0.138
443	2818.052	38.1	2.446	0.430
444	2821.316	15.9	2.531	-0.051
445	2826.691	12.5	2.444	0.243
446	2843.803	12.5	2.126	0.239
447	2843.992	27.9	2.156	0.130
448	2873.700	22.5	2.171	0.273
449	2879.282	19.1	2.645	0.408
450	2886.227	19.1	2.709	0.047
451	2896.558	11.9	2.672	-0.102
452	2899.441	20.2	2.725	-0.330
453	2906.811	14.8	2.769	-0.206
454	2909.806	14.2	2.737	-0.179
455	2919.184	13.7	2.767	-0.232
456	2920.715	23.3	2.548	-0.462
457	2921.858	25.0	2.541	-0.532
458	2923.397	22.2	2.557	-0.507
459	2927.625	2.8	2.261	-0.302
460	2942.786	44.7	2.100	-0.411
461	2945.138	21.0	2.256	-0.340
462	2945.248	23.3	2.266	-0.335
463	2951.870	16.2	2.251	-0.328
464	2958.262	16.2	2.770	0.080
465	2975.130	23.9	2.223	-0.114
466	2976.995	19.9	2.471	0.090
467	2983.390	20.8	2.505	0.279
468	2985.481	37.3	2.396	-0.066
469	2988.276	28.4	1.957	0.491
470	2990.442	4.8	2.037	0.454
471	3009.310	31.3	1.709	0.884
472	3031.262	33.3	1.685	0.247
473	3035.904	25.9	1.713	0.123
474	3053.564	7.7	1.790	0.442
475	3054.225	15.6	1.869	0.666
476	3064.433	26.7	1.607	0.428
477	3066.124	43.0	1.685	0.365
478	3078.416	18.2	2.424	0.664
479	3090.445	25.9	2.124	0.290
480	3106.680	26.2	1.929	0.281
481	3106.716	20.2	1.932	0.245
482	3115.740	26.5	2.183	-0.178
483	3119.935	16.8	1.854	-0.122
484	3122.423	25.6	2.306	0.246
485	3123.114	24.2	2.319	0.460
486	3131.054	9.7	2.637	0.170
487	3152.951	13.7	3.062	0.442
488	3159.718	17.4	3.330	0.222
489	3161.069	16.8	3.138	0.102
490	3161.601	19.1	2.965	0.209
491	3177.257	15.1	2.917	-0.187
492	3179.970	18.5	3.133	-0.685
493	3180.060	15.1	3.156	-0.684
494	3185.357	21.3	3.070	-0.401
495	3188.683	17.6	3.098	-0.111
496	3193.251	9.4	2.943	-0.179
497	3198.613	21.9	3.054	0.027
498	3201.735	19.3	2.667	-0.133
499	3201.814	10.8	2.535	-0.111
500	3209.096	22.2	2.309	-0.108
501	3220.879	13.9	2.482	0.527
502	3224.052	19.3	2.565	0.849
503	3231.295	21.0	2.341	-0.119
504	3233.153	21.0	2.371	0.025
505	3239.480	16.8	2.548	-0.343
506	3242.890	11.9	2.547	-0.259
507	3243.264	16.5	2.555	-0.237
508	3251.387	21.9	2.438	-0.083
509	3257.760	18.8	2.143	0.030
510	3269.304	25.9	2.294	-0.072
511	3275.000	31.3	2.022	-0.245
512	3275.990	17.1	2.141	-0.192
513	3306.980	22.2	2.761	-0.122
514	3309.303	20.8	2.783	-0.082
515	3313.855	16.8	2.884	-0.198
516	3338.047	25.9	2.598	0.003
517	3340.829	10.5	2.496	-0.025
518	3344.107	14.5	2.904	-0.157
519	3348.824	13.1	2.841	-0.038
520	3357.432	19.3	2.671	0.152
521	3357.815	10.2	2.545	0.081
522	3359.968	21.9	2.446	0.421
523	3360.924	10.5	2.224	0.277
524	3361.441	27.3	2.294	0.299
525	3382.423	25.3	1.947	0.729
526	3391.004	13.9	3.916	0.142
527	3392.987	5.7	4.218	0.318
528	3395.590	17.6	4.197	-0.113
529	3403.067	14.5	3.577	0.068
530	3403.709	9.4	3.543	0.139
531	3404.982	9.4	3.700	0.089
532	3413.478	15.6	3.849	0.107
533	3414.523	14.5	3.662	-0.037
534	3415.389	15.1	3.551	-0.042
535	3417.721	20.5	3.558	-0.021
536	3426.655	7.7	3.623	0.100
537	3429.911	10.0	3.442	0.238
538	3439.568	6.0	3.761	0.026
539	3441.921	13.1	3.367	0.245
540	3449.515	10.2	3.186	0.023
541	3450.969	13.7	3.306	0.044
542	3474.141	12.2	2.959	0.137
543	3474.457	13.4	2.937	0.006
544	3479.623	17.6	3.171	0.206
545	3483.260	12.8	3.019	0.051
546	3495.498	15.4	2.943	0.069
547	3498.304	11.9	2.563	0.017
548	3508.874	17.6	2.892	0.527
549	3511.031	17.6	2.902	0.503
550	3518.978	15.4	3.079	-0.104
551	3534.239	8.8	2.750	0.557
552	3536.101	18.2	2.750	0.405
553	3543.904	10.5	2.838	0.228
554	3558.566	16.2	2.731	-0.532
555	3560.556	14.8	2.532	-0.619
556	3580.152	23.9	2.530	0.159
557	3582.315	21.3	2.406	0.429
558	3608.386	13.4	4.235	-0.476
559	3609.633	12.2	4.176	-0.210
560	3614.508	12.5	3.719	-0.000
561	3615.765	4.6	3.785	-0.147
562	3622.885	10.8	3.097	-0.240
563	3625.784	13.7	3.755	-0.180
564	3633.364	10.5	3.869	-0.010
565	3637.319	11.1	3.643	-0.514
566	3640.324	9.1	3.570	-0.462
567	3655.128	12.8	3.604	-0.327
568	3658.625	15.6	3.963	0.214
569	3680.163	18.2	3.134	-0.624
570	3683.320	18.8	3.544	-0.272
571	3683.680	14.5	3.556	-0.249
572	3689.675	15.6	3.357	0.450
573	3695.349	13.9	3.596	-1.016
574	3696.084	16.5	3.530	-0.861
575	3696.953	12.5	3.570	-0.789
576	3704.188	19.9	3.430	-0.726
577	3704.209	16.8	3.495	-0.772
578	3704.559	15.4	3.527	-0.775
579	3712.813	13.1	2.782	-0.386
580	3715.629	17.4	3.017	-0.657
581	3746.243	21.0	2.723	-0.647
582	3764.698	19.1	2.908	-0.526
583	3778.989	9.4	3.851	-0.087
584	3779.267	18.5	3.885	-0.227
585	3792.459	19.9	2.620	-0.379
586	3795.356	27.6	2.524	0.017
587	3809.280	18.8	2.777	-0.328
588	3810.308	19.1	2.784	-0.028
589	3825.347	15.9	2.932	-0.266
590	3841.376	15.1	3.085	0.170
591	3857.785	37.0	2.996	0.167
592	3866.527	14.2	2.908	-0.189
593	3897.679	10.8	3.194	-0.059
594	3897.989	21.6	3.258	-0.055
595	3898.949	16.8	3.249	-0.102
596	3906.273	11.9	3.384	-0.068
597	3907.631	13.9	3.478	-0.190
598	3909.186	10.0	3.262	0.048
599	3922.270	19.1	3.261	0.087
600	3952.291	21.3	2.708	0.076
601	3978.779	28.2	2.332	-0.541
602	3981.049	19.6	2.205	-0.815
603	3996.646	25.6	2.026	-0.301
604	3998.761	11.9	2.068	-0.038
605	3999.186	19.3	2.243	0.127
606	4004.988	15.9	2.237	0.231
607	4022.876	19.1	2.493	-0.205
608	4029.677	29.3	2.572	0.278
609	4035.008	19.6	2.764	-0.072
610	4037.628	19.3	2.604	0.203
611	4038.394	10.2	2.482	0.063
612	4051.601	19.1	1.532	0.651
613	4074.851	21.3	2.621	-0.210
614	4087.545	19.1	2.699	-0.203
615	4090.927	19.9	2.622	-0.140
616	4091.838	19.6	2.481	-0.046
617	4094.521	22.2	2.545	-0.490
618	4095.998	23.0	2.559	-0.531
619	4096.448	19.6	2.585	-0.537
620	4126.257	21.3	2.214	-0.525
621	4130.549	15.9	2.680	-0.120
622	4132.171	16.5	2.833	-0.321
623	4134.908	20.2	2.715	-0.391
624	4166.482	22.2	2.688	0.030
625	4169.509	13.4	2.662	-0.039
626	4179.366	29.9	2.538	-0.068
627	4183.810	28.4	2.401	0.163
628	4188.849	15.9	2.689	-0.037
629	4191.339	16.8	2.686	0.028
630	4192.536	25.0	2.495	0.139
631	4198.235	24.5	2.592	0.318
632	4198.701	19.6	2.557	0.271
633	4214.640	12.5	2.199	0.432
634	4216.286	13.9	2.284	0.558
635	4216.801	15.4	2.296	0.448
636	4230.630	28.7	2.237	0.457
637	4254.768	27.0	1.933	0.161
638	4259.461	27.3	2.329	0.260
639	4262.830	25.9	2.453	-0.081
640	4267.177	27.3	2.529	-0.041
641	4267.578	17.9	2.492	-0.050
642	4268.328	12.2	2.311	-0.104
643	4279.337	16.8	3.286	-0.298
644	4281.658	20.5	3.033	0.117
645	4285.392	22.2	2.950	0.028
646	4285.510	17.6	2.994	0.072
647	4294.610	9.1	3.023	0.029
648	4296.337	21.3	2.902	-0.017
649	4299.778	21.9	2.983	0.028
650	4299.988	20.8	2.971	0.037
651	4300.174	16.5	2.982	0.231
652	4314.189	10.5	3.497	-0.349
653	4322.255	12.5	3.530	-0.507
654	4322.514	12.5	3.518	-0.565
655	4324.571	9.7	3.124	-0.113
656	4328.790	12.8	3.184	0.177
657	4339.975	14.2	3.286	-0.293
658	4340.617	16.2	3.290	-0.361
659	4346.716	17.9	3.276	-0.021
660	4353.853	19.6	3.112	-0.625
661	4353.958	2.8	3.178	-0.581
662	4354.499	16.2	3.082	-0.454
663	4355.367	4.8	3.203	-0.418
664	4360.932	17.9	3.267	0.117
665	4368.475	11.4	3.063	-0.391
666	4373.415	17.6	3.123	-0.286
667	4379.350	8.5	3.185	-0.281
668	4387.945	16.2	3.051	-0.180
669	4393.062	15.4	2.714	-0.014
670	4403.465	22.2	2.668	0.004
671	4414.640	17.9	2.667	-0.356
672	4419.765	14.5	2.955	-0.379
673	4421.050	12.5	2.918	-0.372
674	4428.002	14.5	3.445	-0.143
675	4429.468	11.4	3.817	-0.081
676	4438.541	22.2	2.716	-0.570
677	4440.450	17.4	2.848	-0.457
678	4441.120	14.8	2.806	-0.868
679	4442.239	13.9	2.911	-0.802
680	4442.757	17.4	2.794	-1.029
681	4452.696	17.9	2.792	-0.166
682	4456.165	14.2	2.710	-0.322
683	4458.687	33.3	2.209	-0.089
684	4476.786	24.7	2.439	0.374
685	4482.092	27.3	2.089	0.357
686	4483.407	12.5	2.111	0.252
687	4483.888	32.4	2.131	0.309
688	4487.669	6.0	2.091	0.187
689	4501.881	27.3	2.142	-0.444
690	4502.587	26.5	2.254	-0.029
691	4505.366	27.3	2.163	-0.048
692	4506.775	23.3	2.183	-0.042
693	4520.454	21.3	2.099	-0.229
694	4523.661	18.8	1.868	-0.305
695	4534.618	32.1	1.759	-0.156
