DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
12:26:35
-2050.000 mm;0.000 mm;275.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	18.817	16.5	4.025	-0.562
2	33.420	7.4	4.642	-0.324
3	40.113	6.3	4.658	-0.374
4	44.201	11.1	4.653	-0.255
5	46.553	9.4	4.645	-0.078
6	59.757	15.9	4.808	-0.130
7	61.527	7.7	4.770	-0.406
8	62.360	8.5	4.777	-0.357
9	63.451	15.6	5.285	-0.325
10	66.299	9.7	4.830	-0.436
11	67.299	8.5	4.707	-0.180
12	69.619	7.4	4.901	-0.403
13	72.225	8.5	4.706	-0.387
14	72.453	8.8	4.769	-0.430
15	83.592	7.1	4.541	-0.302
16	84.180	11.1	4.479	-0.229
17	84.512	13.1	4.483	-0.262
18	92.785	13.4	4.493	-0.682
19	104.188	13.4	4.444	-0.436
20	107.332	11.7	4.391	-0.523
21	110.062	11.7	4.299	-0.578
22	112.764	8.0	4.148	-0.569
23	116.297	14.8	4.159	-0.472
24	117.608	10.5	4.282	-0.394
25	127.665	10.0	4.166	-0.093
26	130.626	9.4	4.315	-0.001
27	132.515	9.4	4.301	0.152
28	132.757	9.7	4.312	0.235
29	136.023	15.9	4.272	0.084
30	148.903	15.6	4.173	-0.016
31	156.579	11.7	4.087	0.056
32	159.921	12.5	4.416	-0.239
33	161.421	16.8	4.533	-0.376
34	165.525	15.4	4.441	-0.252
35	171.957	8.5	4.540	-0.295
36	187.790	10.0	4.434	0.136
37	188.511	11.4	4.406	-0.002
38	204.426	13.4	4.372	0.206
39	208.964	15.6	4.364	-0.284
40	215.705	14.8	4.259	-0.266
41	230.304	11.4	4.505	-0.714
42	230.678	9.4	4.448	-0.900
43	235.566	15.9	4.878	-0.314
44	238.587	11.7	4.522	0.091
45	248.012	10.0	4.496	0.160
46	250.099	14.2	4.295	0.115
47	252.795	12.2	4.502	0.064
48	252.944	13.4	4.490	0.081
49	253.238	11.1	4.553	0.255
50	254.333	8.8	4.509	0.215
51	257.983	16.5	4.421	0.299
52	260.983	15.1	4.202	0.024
53	275.189	8.0	4.050	-0.154
54	278.903	8.8	4.149	-0.081
55	293.471	9.1	4.089	-0.021
56	296.082	10.8	4.056	0.135
57	302.148	13.7	3.926	0.088
58	307.472	16.5	4.014	-0.139
59	343.231	15.1	3.960	0.011
60	354.439	4.8	3.917	-0.097
61	361.131	11.4	4.123	0.392
62	384.511	14.5	3.932	0.154
63	392.514	15.4	3.697	0.128
64	421.072	16.5	3.715	0.246
65	424.618	13.1	3.726	0.501
66	441.390	8.2	4.311	0.087
67	449.438	11.4	4.014	-0.005
68	452.911	14.5	4.065	0.024
69	474.191	16.5	3.884	-0.006
70	483.481	12.5	3.677	0.250
71	484.365	7.4	3.612	0.372
72	486.844	10.8	3.682	-0.005
73	489.991	17.9	3.752	-0.154
74	499.093	10.0	3.728	0.285
75	499.515	14.5	3.701	0.239
76	508.202	10.2	3.649	0.051
77	512.237	10.0	3.599	0.079
78	515.094	15.6	3.481	0.283
79	518.333	24.5	3.572	0.202
80	518.934	19.1	3.498	-0.094
81	519.870	12.8	3.342	-0.185
82	521.491	11.9	3.374	-0.284
83	524.093	21.0	3.281	-0.259
84	524.521	8.2	3.267	-0.227
85	543.832	12.5	3.993	-0.274
86	557.127	12.2	4.129	-0.364
87	560.781	11.4	3.813	-0.484
88	564.827	19.9	3.865	-0.439
89	566.069	13.1	3.871	-0.425
90	575.577	7.7	3.782	-0.546
91	578.011	13.1	3.647	-0.211
92	579.627	17.9	3.791	-0.321
93	581.681	13.9	3.777	-0.225
94	583.392	11.4	3.631	-0.081
95	583.626	17.4	3.660	-0.032
96	586.121	6.5	3.692	0.329
97	586.667	9.4	3.525	0.361
98	590.292	7.1	4.061	0.437
99	591.278	10.0	3.988	0.301
100	601.517	6.3	4.057	-0.190
101	602.865	20.2	3.847	0.020
102	605.601	7.1	3.673	-0.069
103	607.419	17.4	3.798	0.424
104	611.796	11.1	3.787	0.013
105	614.966	6.0	4.450	-0.691
106	616.359	12.2	4.198	-0.470
107	622.369	9.1	4.015	-0.438
108	636.450	11.9	4.091	-0.027
109	644.510	7.4	4.185	-0.065
110	654.065	10.5	4.604	-0.135
111	658.395	8.2	4.803	0.009
112	660.362	10.0	5.010	-0.231
113	663.924	14.5	4.545	-0.029
114	665.268	12.5	4.526	-0.005
115	665.669	14.8	4.540	-0.130
116	666.421	12.8	4.629	0.075
117	667.481	14.2	4.596	0.084
118	668.532	10.8	4.660	-0.310
119	673.536	12.5	4.493	-0.126
120	679.536	13.9	4.313	-0.259
121	684.408	11.9	4.607	-0.032
122	697.389	9.1	4.825	-0.280
123	707.308	10.0	4.958	-0.224
124	708.865	11.9	4.875	-0.250
125	710.094	9.4	4.892	-0.305
126	725.781	16.5	4.775	-0.556
127	731.334	13.4	4.591	-0.502
128	734.567	8.5	4.651	-0.155
129	744.903	13.4	4.792	-0.297
130	744.977	10.8	4.783	-0.372
131	759.003	8.8	4.798	-0.270
132	759.211	9.4	4.813	-0.055
133	770.937	7.7	4.652	-0.342
134	774.262	9.4	4.735	-0.066
135	779.412	5.4	4.668	-0.104
136	780.181	8.5	4.673	-0.146
137	782.073	8.2	4.629	0.032
138	782.639	8.5	4.349	-0.047
139	783.797	10.8	4.416	0.078
140	784.862	13.4	4.296	0.155
141	790.730	15.9	4.473	-0.245
142	796.400	13.4	4.337	-0.395
143	808.608	15.1	4.249	-0.281
144	808.965	9.4	4.247	-0.212
