DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
12:32:49
-2050.000 mm;0.000 mm;325.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	11.636	10.5	4.623	-0.280
2	13.924	13.7	4.638	-0.237
3	18.057	12.2	4.630	-0.235
4	20.923	11.4	4.649	-0.215
5	25.316	10.8	4.846	-0.458
6	37.336	9.7	4.988	-0.639
7	39.409	8.5	4.899	-0.507
8	44.553	10.2	4.733	-0.418
9	54.867	16.8	4.642	-0.070
10	54.948	8.0	4.585	-0.078
11	57.312	7.4	4.456	-0.269
12	66.245	12.5	4.457	-0.094
13	68.884	13.1	4.476	-0.096
14	75.619	10.0	4.682	-0.217
15	77.607	9.7	4.618	-0.143
16	79.730	9.4	4.708	-0.065
17	83.465	6.0	4.909	-0.085
18	86.965	10.8	4.971	-0.167
19	95.868	12.5	4.697	-0.219
20	96.114	11.4	4.712	-0.157
21	98.619	10.5	4.580	-0.285
22	125.260	9.7	4.737	-0.435
23	128.921	13.7	4.513	-0.395
24	162.779	11.7	4.592	-0.418
25	171.303	8.8	4.609	-0.428
26	180.501	9.7	4.406	-0.101
27	186.650	10.2	4.362	-0.463
28	193.978	15.9	4.564	-0.358
29	196.001	13.7	4.526	-0.282
30	199.018	15.9	4.597	-0.010
31	204.467	11.1	4.873	0.252
32	210.422	3.4	4.274	-0.269
33	212.464	11.1	4.770	-0.006
34	212.683	12.2	4.757	0.064
35	221.226	15.4	4.934	-0.615
36	223.512	13.1	4.839	-0.198
37	225.136	13.9	4.864	-0.323
38	228.356	12.2	4.644	-0.476
39	229.341	6.0	4.538	-0.635
40	232.117	11.9	4.749	-0.489
41	232.206	8.5	4.762	-0.529
42	236.655	6.3	4.599	-0.577
43	238.556	11.9	4.357	-0.668
44	239.630	12.2	4.784	-0.370
45	246.405	11.9	4.666	-0.479
46	248.168	11.1	4.474	-0.345
47	249.294	10.2	4.350	-0.214
48	249.927	12.8	4.353	-0.224
49	250.506	9.1	4.341	-0.294
50	252.614	15.6	4.441	-0.406
51	252.795	13.1	4.542	-0.403
52	253.819	13.9	4.323	-0.382
53	255.495	11.7	4.567	-0.724
54	255.522	11.4	4.568	-0.556
55	256.049	10.0	4.481	-0.596
56	259.242	14.5	4.592	-0.415
57	263.122	9.4	4.252	0.064
58	272.299	10.0	4.236	0.244
59	272.566	14.8	4.350	0.236
60	276.884	11.1	4.220	-0.135
61	278.355	6.8	4.225	0.038
62	278.998	11.7	4.281	0.120
63	281.275	11.7	4.403	0.402
64	289.529	6.5	4.941	-0.155
65	291.737	16.8	4.655	0.120
66	294.917	9.4	4.564	-0.025
67	302.749	11.1	4.542	-0.009
68	303.014	10.2	4.588	0.017
69	308.782	6.5	4.440	0.060
70	309.001	10.2	4.387	-0.029
71	309.063	13.7	4.447	0.117
72	309.531	11.1	4.407	0.178
73	312.223	13.1	4.353	0.499
74	312.441	10.0	4.329	0.448
75	313.604	9.1	4.355	0.079
76	314.158	12.8	4.104	0.075
77	323.074	17.9	4.184	-0.102
78	323.589	13.1	4.253	-0.088
79	325.140	13.9	4.205	-0.139
80	328.809	11.4	4.104	-0.278
81	329.946	13.7	3.978	-0.221
82	333.948	15.6	4.094	-0.188
83	335.264	17.9	4.096	-0.169
84	339.084	11.9	3.993	-0.269
85	347.488	11.7	4.049	-0.226
86	351.278	15.6	3.873	0.108
87	353.035	7.1	3.770	0.378
88	353.827	10.5	3.817	0.366
89	356.108	13.1	3.986	-0.016
90	358.218	17.6	4.206	0.095
91	358.810	15.4	4.112	0.289
92	362.346	17.1	3.920	-0.022
93	367.390	14.5	3.956	0.234
94	369.533	9.4	4.034	0.012
95	371.080	13.7	3.561	-0.821
96	371.996	13.9	3.367	-0.542
97	374.158	11.4	3.578	0.209
98	376.611	15.6	3.665	-0.013
99	376.675	15.6	3.686	-0.079
100	382.990	10.0	4.018	-0.515
101	390.200	10.0	4.548	-0.507
102	392.480	11.9	4.596	-0.894
103	394.365	17.1	4.690	-0.888
104	395.150	9.1	4.614	-0.744
105	396.534	12.8	4.692	-0.617
106	399.211	6.3	4.747	-0.690
107	399.892	10.5	4.971	-0.757
108	400.105	11.9	5.007	-0.684
109	400.621	11.1	4.972	-0.589
110	400.895	11.9	4.940	-0.518
111	414.239	7.4	4.370	-0.524
112	414.403	3.7	4.347	-0.422
113	415.794	10.8	4.232	-0.435
114	419.235	15.6	4.189	-0.344
115	423.072	11.7	4.282	-0.763
116	424.105	15.6	4.249	-0.432
117	425.044	10.2	4.283	-0.447
118	426.454	14.5	4.317	-0.717
119	427.656	8.5	4.338	-0.831
120	430.607	13.7	4.473	-0.637
121	434.015	12.8	4.488	-0.872
122	435.208	10.2	4.578	-0.993
123	435.556	16.2	4.582	-0.827
