DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
12:11:08
-2050.000 mm;0.000 mm;170.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	1.879	21.6	3.571	-0.439
2	2.215	14.5	3.605	-0.439
3	6.530	21.0	3.329	-0.214
4	7.734	17.1	3.259	-0.085
5	7.758	17.4	3.212	-0.095
6	9.723	9.7	3.010	-0.042
7	12.203	22.5	2.693	-0.217
8	14.687	17.6	3.082	-0.382
9	16.997	7.4	3.381	0.363
10	18.627	23.3	3.180	0.524
11	22.537	21.3	2.937	-0.046
12	24.408	19.9	3.032	0.186
13	27.390	12.5	3.184	0.066
14	28.437	9.4	3.077	0.083
15	29.334	13.1	3.097	0.195
16	43.852	12.2	3.376	0.245
17	46.567	23.3	3.485	-0.056
18	46.624	4.0	3.432	-0.131
19	49.648	20.5	3.392	0.608
20	50.113	19.3	3.395	0.734
21	53.144	10.8	3.135	0.804
22	71.123	23.0	3.065	-0.218
23	77.642	15.4	3.821	-0.085
24	78.763	13.7	3.863	-0.179
25	79.279	14.2	3.731	-0.392
26	87.274	4.8	3.495	-0.058
27	88.740	16.8	3.313	-0.259
28	93.536	12.2	3.731	-0.608
29	95.233	13.7	3.644	-0.676
30	95.464	15.4	3.581	-0.517
31	98.197	16.8	3.580	-0.642
32	101.617	16.8	3.647	-0.611
33	104.323	8.0	3.586	-0.611
34	106.429	10.5	3.426	-0.620
35	107.992	12.5	3.335	-0.431
36	109.970	17.6	3.235	-0.517
37	120.360	16.8	3.581	-0.503
38	121.936	11.7	3.536	-0.355
39	126.794	19.1	3.245	-0.615
40	131.589	8.2	3.019	-0.137
41	136.360	18.5	3.145	-0.327
42	136.401	13.7	3.249	-0.357
43	142.042	19.1	2.865	-0.257
44	144.115	26.5	2.891	0.041
45	146.161	18.5	2.830	-0.010
46	147.212	24.7	2.721	-0.260
47	149.335	19.1	2.783	-0.202
48	150.761	13.9	2.948	-0.136
49	154.141	21.9	2.822	0.038
50	164.676	4.3	2.504	-0.120
51	177.308	19.1	2.771	-0.060
52	177.406	20.5	2.740	-0.118
53	178.537	19.3	2.682	0.167
54	187.454	18.8	2.958	0.234
55	187.650	21.0	2.945	0.261
56	194.446	13.4	3.314	0.404
57	195.098	10.2	3.316	0.319
