DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:31:07
-2050.000 mm;0.000 mm;40.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	21.381	12.8	2.216	-0.714
2	22.990	11.7	2.287	-0.903
3	32.170	20.5	2.364	-0.883
4	32.447	17.6	2.410	-0.825
5	35.192	27.9	2.345	-0.641
6	37.415	19.6	2.187	-0.321
7	52.262	13.1	2.033	-0.059
8	58.180	29.6	2.273	-0.340
9	59.336	12.2	2.585	-0.192
10	62.979	12.8	2.914	-0.693
11	65.527	23.9	3.291	-0.387
12	70.643	12.8	2.968	-0.874
13	75.525	20.5	2.816	-0.486
14	88.078	31.0	1.528	0.402
15	90.282	25.0	1.725	0.556
16	91.949	23.9	2.016	0.529
17	100.659	18.2	3.091	0.116
18	103.552	16.5	2.730	0.487
19	123.185	15.4	3.439	-0.057
20	126.539	19.1	3.562	-0.057
21	127.345	12.5	3.676	0.015
22	128.100	13.9	3.713	0.041
23	128.148	19.9	3.601	-0.000
24	137.362	11.9	3.448	-0.173
25	138.923	16.8	3.535	-0.171
26	143.395	17.9	3.528	-0.319
27	148.132	12.8	3.867	-0.123
28	149.671	15.1	3.685	0.088
29	150.309	15.1	3.572	0.049
30	150.383	12.5	3.568	-0.053
31	153.501	14.2	3.685	-0.141
32	157.253	15.9	3.588	0.145
33	170.172	15.4	3.299	-0.226
34	171.215	21.0	3.233	-0.270
35	172.527	12.2	3.304	-0.336
36	174.373	16.2	3.255	-0.319
37	181.615	8.8	2.963	-0.417
38	182.193	15.9	2.920	-0.464
39	188.021	16.2	3.200	0.216
40	188.224	13.4	3.248	0.232
41	192.214	13.4	3.388	-0.046
42	194.929	24.7	3.237	0.115
43	199.170	12.2	3.092	-0.020
44	201.433	21.3	3.320	-0.007
45	202.893	23.9	3.071	0.411
46	206.076	21.3	2.915	0.360
47	208.518	17.9	3.095	-0.145
48	209.343	6.3	2.801	0.466
49	228.649	17.6	2.707	-0.404
50	235.036	13.4	2.805	0.206
51	237.781	16.8	2.902	0.387
52	247.925	34.4	1.869	0.474
53	248.327	22.8	1.889	0.348
54	251.771	20.2	2.308	-0.214
55	258.931	20.8	1.770	0.480
56	266.392	34.4	1.800	0.347
57	268.842	26.7	1.909	0.597
58	274.225	33.6	1.583	0.600
59	275.916	24.7	1.708	0.365
60	276.116	21.0	1.649	0.373
61	276.182	31.0	1.732	0.409
62	283.250	25.6	2.353	0.294
63	286.105	9.4	3.233	0.067
64	291.686	19.6	2.930	-0.335
65	297.209	19.9	3.006	-0.076
66	298.544	19.1	3.314	-0.234
67	303.894	15.9	2.253	0.240
68	309.530	17.9	2.840	-0.223
69	309.819	28.7	2.806	-0.253
70	315.141	24.7	2.907	-0.251
71	315.771	24.5	2.892	-0.203
72	319.165	15.9	2.729	-0.076
73	322.044	17.9	2.868	-0.414
74	322.606	19.3	2.888	-0.451
75	323.047	17.9	2.789	-0.459
76	323.602	18.8	2.885	-0.268
77	324.901	14.8	2.904	-0.310
78	325.717	9.7	2.754	-0.237
79	331.861	15.9	2.520	0.133
80	342.134	13.9	3.421	-0.158
81	342.163	17.1	3.411	-0.256
82	344.344	16.8	3.050	-0.290
83	345.036	11.4	3.087	-0.432
84	345.233	16.2	3.039	-0.488
85	351.457	19.3	3.352	-0.005
86	357.113	17.9	3.305	0.085
87	363.565	11.9	3.105	0.023
88	366.195	13.4	3.059	0.089
89	367.335	12.2	2.950	-0.029
90	377.460	19.1	2.927	-0.066
91	384.532	26.5	2.981	-0.076
92	387.193	22.5	3.009	-0.103
93	387.653	22.2	3.071	-0.101
94	396.168	19.3	3.194	-0.514
95	399.743	15.6	3.051	0.178
96	402.892	22.5	2.834	0.017
97	403.996	11.4	2.758	-0.055
98	405.279	12.8	2.953	-0.241
99	406.136	19.3	2.863	-0.022
100	406.304	20.5	2.865	-0.115
101	407.609	20.8	2.705	0.253
102	419.803	13.7	3.252	-0.351
103	421.685	13.1	3.367	-0.166
104	421.832	10.0	3.280	-0.303
105	424.903	14.8	3.044	-0.114
106	429.119	17.6	2.938	-0.030
107	432.658	16.8	2.740	-0.333
108	438.048	25.3	2.785	-0.346
109	440.688	17.9	2.802	-0.609
110	442.537	15.9	2.948	-0.430
111	443.314	13.9	2.823	-0.397
112	448.223	9.4	3.128	-0.681
113	451.649	13.9	2.750	0.664
114	452.766	20.5	2.182	0.946
115	464.190	19.1	2.811	0.008
116	466.644	24.5	2.785	-0.184
117	472.303	16.5	2.859	-0.102
118	473.935	13.4	2.980	0.022
119	475.049	18.5	2.940	0.102
120	477.126	8.2	3.139	0.149
121	480.059	10.8	3.214	-0.097
122	484.848	25.6	3.083	-0.212
123	491.387	19.6	2.879	-0.069
124	491.528	12.2	2.839	-0.048
125	491.810	11.9	2.912	-0.103
126	499.424	14.8	2.762	-0.174
127	500.597	21.0	2.795	-0.158
128	506.328	18.2	3.244	-0.037
129	507.356	18.2	3.362	-0.315
130	508.832	10.5	3.459	-0.402
131	509.294	18.5	3.467	-0.588
132	509.585	12.5	3.456	-0.593
