DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:55:43
-2050.000 mm;0.000 mm;110.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	1.173	24.2	3.392	0.325
2	9.567	17.6	3.363	0.109
3	15.496	15.6	3.191	-0.360
4	18.886	15.1	3.392	-0.258
5	22.555	13.9	3.192	-0.168
6	30.154	11.1	3.048	-0.165
7	30.777	7.7	3.023	-0.150
8	34.371	9.4	2.962	-0.269
9	37.962	12.2	2.937	-0.316
10	41.344	17.9	3.280	-0.258
11	43.389	15.9	3.373	-0.278
12	46.722	11.1	3.352	-0.209
13	51.635	16.5	3.300	-0.177
14	61.046	15.1	3.185	-0.303
15	61.695	12.8	3.293	-0.212
16	62.014	20.2	3.319	-0.140
17	64.342	8.2	3.186	0.063
18	68.108	11.4	3.205	-0.522
19	68.764	16.8	3.392	-0.441
20	69.000	20.5	3.360	-0.216
21	70.591	17.4	3.098	0.185
22	74.257	9.4	3.471	-0.212
23	75.524	13.4	3.396	-0.215
24	79.671	12.8	3.350	-0.251
25	80.706	20.5	3.312	-0.291
26	88.068	21.3	2.706	-0.646
27	89.280	22.5	2.754	-0.836
28	90.761	18.8	2.654	-0.550
29	92.765	15.1	3.010	-0.324
30	94.249	15.4	2.885	-0.363
31	94.381	20.8	2.985	-0.468
32	95.036	17.9	2.977	-0.416
33	96.799	19.3	2.911	-0.416
34	97.686	18.5	2.891	-0.308
35	98.960	24.7	2.909	-0.109
36	102.899	13.4	2.875	-0.012
37	105.416	12.2	2.942	-0.105
38	108.508	12.2	2.937	-0.150
39	109.486	25.9	3.107	-0.023
40	113.218	14.5	3.650	-0.152
41	114.519	11.4	3.535	0.044
42	124.351	15.9	3.384	-0.049
43	126.679	12.2	3.372	0.049
44	129.659	21.3	3.431	-0.082
45	133.132	14.5	3.426	0.029
46	136.710	10.2	3.116	0.370
47	138.836	7.7	2.945	0.367
48	141.841	15.6	2.907	0.072
49	145.582	15.6	3.058	0.095
50	151.578	19.6	3.050	0.209
51	155.436	9.7	3.086	0.442
52	161.528	17.1	3.037	0.535
53	162.280	18.2	2.992	0.420
54	164.422	18.8	2.931	0.202
55	171.914	16.8	2.673	0.154
56	182.504	13.1	2.971	0.354
57	190.843	14.2	3.057	0.296
58	192.725	16.5	3.083	0.345
59	194.663	18.5	3.053	0.498
60	197.927	17.1	3.289	0.271
61	199.342	5.7	3.114	-0.191
62	206.205	18.5	3.234	-0.433
63	216.941	18.5	2.938	-0.266
64	217.259	23.9	2.927	-0.254
65	218.365	16.8	2.955	-0.282
66	223.659	5.1	2.819	-0.009
67	233.200	19.6	2.418	-0.110
68	236.718	7.7	2.539	-0.033
69	236.800	21.0	2.564	-0.018
70	239.347	18.2	2.540	0.064
71	246.434	24.5	2.502	0.058
72	253.193	15.1	2.775	0.241
73	254.479	21.6	2.698	0.155
74	257.893	25.0	2.440	0.063
75	267.051	22.2	2.690	-0.111
76	268.961	17.4	2.574	0.111
77	271.914	26.2	2.628	-0.013
78	272.008	12.5	2.566	-0.054
79	275.749	14.5	2.528	-0.081
80	278.835	19.1	2.549	-0.064
81	283.685	10.5	2.467	0.095
82	284.392	16.5	2.464	0.192
83	286.580	18.5	2.572	0.168
84	291.309	15.6	2.410	-0.006
85	294.988	15.6	2.557	0.013
86	295.058	15.1	2.503	-0.009
87	298.669	21.9	2.594	-0.075
88	300.576	15.1	2.566	0.133
89	305.855	11.9	2.525	0.561
90	306.300	17.9	2.452	0.505
91	306.405	16.8	2.468	0.489
92	313.358	17.9	2.621	0.438
93	315.297	19.9	2.627	0.278
94	315.606	19.9	2.605	0.231
