DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:40:21
-2050.000 mm;0.000 mm;60.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	2.741	19.9	2.888	0.442
2	2.854	16.2	2.843	0.395
3	3.425	4.6	3.068	0.285
4	9.198	15.4	2.579	0.144
5	12.054	18.8	2.625	0.035
6	37.880	15.6	2.987	-0.245
7	40.974	15.9	3.244	-0.151
8	42.692	16.2	3.144	0.343
9	44.858	14.2	3.088	0.057
10	45.625	13.7	3.050	0.187
11	48.506	13.4	3.097	0.228
12	49.103	17.1	3.095	0.158
13	50.944	17.4	3.034	0.173
14	56.773	19.1	2.595	-0.174
15	59.969	19.9	2.754	-0.321
16	61.318	7.7	2.798	-0.454
17	62.153	19.6	2.773	-0.343
18	63.170	11.9	2.742	-0.096
19	64.258	14.2	2.707	-0.126
20	64.893	20.8	2.724	-0.228
21	65.676	22.5	2.754	-0.127
22	66.460	17.6	2.833	-0.239
23	66.820	16.8	2.809	-0.115
24	66.886	21.9	2.828	-0.130
25	78.249	27.3	2.562	-0.029
26	80.834	18.8	2.777	-0.309
27	83.571	18.8	2.928	-0.224
28	87.953	21.0	2.562	-0.276
29	88.394	31.3	2.562	-0.243
30	88.960	22.2	2.524	-0.283
31	89.804	21.3	2.446	-0.204
32	97.386	13.4	2.657	0.026
33	110.407	20.2	2.731	-0.496
34	112.815	17.9	2.721	-0.536
35	123.456	15.6	2.436	-0.230
36	138.101	10.0	2.806	-0.258
37	140.273	23.0	2.904	-0.326
38	145.405	18.5	2.568	0.142
39	146.821	12.5	2.531	0.152
40	150.930	17.9	2.709	-0.112
41	153.864	10.2	2.734	-0.569
42	165.463	21.0	2.136	-0.324
43	167.040	36.1	2.062	-0.447
44	168.869	12.5	2.014	-0.351
45	170.320	16.8	2.256	-0.229
46	175.670	16.2	2.113	-0.041
47	177.475	15.4	2.111	-0.073
48	178.803	35.6	2.288	0.072
49	187.309	27.0	2.321	-0.145
50	188.859	29.3	2.340	-0.121
51	190.689	18.8	2.421	-0.069
52	199.021	14.5	3.019	-0.448
