DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:28:03
-2050.000 mm;0.000 mm;35.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	0.280	17.6	2.306	0.508
2	2.450	17.9	2.469	0.402
3	11.640	12.2	3.510	0.312
4	14.237	18.5	3.107	0.570
5	15.087	17.9	2.978	0.645
6	17.204	18.8	2.832	0.407
7	20.439	16.8	3.353	0.705
8	21.985	18.2	3.221	0.504
9	31.147	15.6	3.198	0.698
10	32.360	17.6	2.977	0.745
11	33.065	14.8	3.016	0.720
12	37.111	11.9	3.172	0.094
13	37.245	21.6	3.108	0.113
14	40.662	13.7	2.721	0.372
15	43.123	10.2	3.121	0.626
16	47.499	14.8	2.588	0.253
17	48.078	19.9	2.592	0.240
18	48.363	17.9	2.599	0.395
19	51.290	21.6	2.515	0.112
20	51.448	21.0	2.502	0.040
21	57.237	23.9	2.499	0.378
22	65.001	53.5	1.500	-0.075
23	80.618	22.8	1.923	-0.664
24	81.952	29.0	1.957	-0.914
25	127.699	25.9	1.924	-0.098
26	129.235	17.9	2.156	-0.504
27	135.994	34.4	1.922	-0.058
28	137.352	25.9	1.831	-0.119
29	148.809	39.0	1.877	0.236
30	149.982	33.3	1.958	0.158
31	161.346	17.6	1.615	0.487
32	169.109	13.9	1.956	0.046
33	171.976	35.3	1.545	0.290
34	192.649	32.1	1.788	-0.049
35	196.041	27.0	1.771	0.310
36	207.818	32.7	1.619	-0.029
37	215.679	15.1	1.636	0.159
38	222.546	27.6	1.599	0.186
39	235.820	41.8	1.485	-0.136
40	246.736	57.2	0.835	0.703
41	264.147	13.7	1.803	0.963
42	265.643	23.3	1.846	0.744
43	266.120	24.7	1.810	0.522
44	279.379	35.6	1.811	0.030
45	281.732	30.4	1.831	-0.110
46	304.290	19.3	1.787	0.470
47	304.487	44.4	1.826	0.364
48	308.724	25.9	1.792	-0.051
49	316.774	19.9	1.299	0.554
50	337.619	13.1	1.695	0.076
51	340.420	23.6	1.644	0.166
52	351.908	31.6	1.470	0.227
53	359.643	41.8	1.574	-0.145
54	370.635	53.5	1.297	0.053
55	372.293	43.0	1.278	-0.063
56	372.358	18.2	1.243	0.010
57	376.576	31.6	1.588	0.351
58	379.303	19.1	2.048	-0.299
59	381.807	22.5	2.212	-0.279
60	404.457	18.5	2.621	-0.212
61	407.602	8.2	3.291	-0.254
62	409.158	18.5	2.976	-0.132
63	422.103	13.4	3.551	-0.146
64	430.260	18.5	3.923	-0.216
65	441.595	13.1	4.105	0.834
66	442.956	14.8	4.414	-0.006
67	448.621	16.8	3.596	-0.143
68	456.424	12.8	4.113	0.341
69	457.807	11.4	3.828	0.009
70	481.291	9.1	3.695	0.394
71	481.318	17.4	3.728	0.433
72	482.273	15.6	3.608	0.368
73	485.224	17.9	3.581	0.261
74	487.744	10.0	3.357	0.386
75	492.480	16.5	3.446	0.448
76	493.799	12.8	3.100	0.488
77	495.958	17.1	3.142	-0.038
78	507.735	8.0	3.965	-0.293
79	513.112	13.7	3.791	-0.629
80	513.632	8.2	3.738	-0.517
81	515.178	16.8	3.636	-0.344
82	519.287	17.9	3.535	-0.324
83	519.333	13.1	3.567	-0.332
84	520.833	17.1	3.550	0.047
85	526.738	11.4	3.277	-0.155
86	526.944	14.2	3.299	-0.142
87	527.389	19.1	3.290	-0.127
88	531.064	18.2	2.884	-0.335
89	532.071	21.9	2.846	-0.212
90	542.202	15.1	3.217	0.138
91	547.586	26.2	2.904	-0.301
92	553.431	25.9	2.961	0.030
93	558.858	13.9	3.057	0.039
94	562.080	14.5	2.655	0.055
95	562.878	16.8	2.686	0.032
96	567.273	20.2	3.069	-0.394
97	569.122	19.1	2.988	-0.630
98	579.360	15.9	3.021	-0.158
99	585.812	17.9	3.461	-0.135
100	586.751	8.8	3.598	-0.081
101	587.552	14.2	3.560	-0.316
102	589.574	14.5	3.541	-0.505
103	595.296	15.6	3.034	0.912
104	596.228	15.6	2.841	0.971
105	601.185	10.2	2.676	0.394
106	602.496	10.5	2.950	0.051
107	607.663	10.2	2.990	-0.100
108	608.749	18.8	2.911	-0.161
109	614.269	11.4	3.168	-0.389
110	616.238	16.5	3.148	-0.428
111	621.689	14.5	3.208	0.319
112	628.945	14.2	2.921	-0.171
113	630.556	20.5	2.633	-0.229
114	634.583	19.9	2.472	0.493
115	642.479	11.4	2.898	-0.340
116	642.680	23.0	2.946	-0.504
117	643.845	23.0	3.047	-0.542
118	645.621	17.9	3.265	0.147
119	653.358	17.4	2.522	-0.013
120	655.609	20.2	2.650	-0.015
121	662.128	14.2	2.976	0.118
122	662.288	20.8	3.030	0.144
123	670.909	17.1	3.264	-0.247
124	684.365	13.1	3.203	0.227
125	684.882	5.4	3.510	-0.045
126	685.135	17.9	3.569	0.041
127	686.580	17.6	2.934	0.073
128	691.121	11.9	3.169	0.084
129	691.802	17.6	3.119	0.003
130	693.183	14.8	3.220	0.137
131	698.119	17.6	3.431	-0.874
132	699.227	15.1	3.013	-0.937
133	700.109	11.9	3.982	-0.565
134	704.270	7.7	3.788	-0.247
135	704.453	14.5	3.543	-0.111
136	705.678	12.2	3.160	0.201
137	729.888	6.3	4.237	0.069
138	733.771	10.2	4.035	-0.271
139	734.036	13.7	4.001	-0.447
140	734.283	10.5	3.892	-0.365
141	735.142	16.2	4.039	-0.272
142	737.022	10.0	3.681	0.209
143	737.652	10.8	3.946	0.088
144	738.583	8.2	4.175	-0.264
145	739.759	10.5	3.692	-0.280
146	745.064	7.4	3.481	-0.220
147	745.761	15.9	3.390	-0.433
148	747.296	10.2	3.313	-0.321
149	753.282	9.4	3.884	-0.584
150	759.921	13.7	2.796	0.237
151	765.607	23.3	2.270	-0.709
152	771.716	6.0	3.298	0.234
153	771.862	17.6	3.279	0.321
154	773.528	4.3	2.839	0.690
155	774.007	19.1	2.728	0.798
156	774.928	17.4	2.670	0.817
157	785.800	14.2	3.365	-0.102
158	788.959	11.9	4.177	-0.064
159	791.510	15.4	3.956	0.001
160	797.457	10.2	4.379	-0.675
161	803.761	9.4	4.406	-0.463
162	804.890	21.9	2.980	0.586
163	816.143	12.8	3.014	0.779
164	816.947	15.9	3.149	0.260
165	823.585	18.5	3.550	0.029
166	824.351	11.9	3.721	0.021
167	825.500	12.8	3.709	-0.111
168	826.641	10.5	3.613	-0.102
169	832.649	15.6	3.495	0.055
170	841.530	15.4	3.553	0.180
171	855.384	13.7	3.188	-0.048
172	856.310	15.6	3.469	-0.133
173	856.801	12.2	3.496	-0.221
174	866.746	16.8	2.887	-0.226
175	867.487	15.9	2.931	-0.256
176	877.288	7.1	2.522	-0.113
177	877.720	22.8	2.536	-0.133
178	879.341	13.4	2.551	-0.081
179	882.117	20.8	2.986	-0.092
180	884.931	21.0	3.131	-0.066
181	896.213	24.5	2.708	0.229
182	896.836	29.6	2.705	0.161
183	899.514	19.9	2.713	-0.158
184	900.173	28.4	2.707	-0.148
185	900.451	17.6	2.730	-0.092
186	906.215	4.8	2.878	-0.154
187	909.817	18.5	2.762	0.182
188	920.853	15.6	3.282	-0.329
189	921.642	13.9	3.128	-0.425
190	942.141	25.6	2.410	0.231
191	949.355	21.3	2.207	-0.037
192	963.070	14.5	2.176	0.357
193	965.746	25.9	2.174	0.220
194	966.280	27.3	2.181	0.081
195	968.190	15.1	2.613	-0.225
196	974.422	15.9	2.567	0.219
197	977.673	22.8	2.296	0.067
198	979.049	17.4	2.505	0.180
199	986.506	23.9	2.719	-0.240
200	991.331	24.5	2.719	0.151
201	992.322	25.9	2.187	0.457
202	994.284	27.3	2.641	-0.081
203	998.841	16.8	2.552	-0.243
204	1010.168	24.5	2.385	-0.016
205	1010.979	25.3	2.326	-0.048
206	1025.843	26.7	2.681	0.288
207	1026.949	29.3	2.542	0.210
208	1028.432	11.9	2.398	0.388
209	1042.120	12.2	2.763	0.185
210	1044.715	17.1	3.090	0.072
211	1046.731	9.4	3.511	-0.261
212	1054.686	16.5	3.235	-0.233
213	1055.812	23.0	3.313	-0.227
214	1058.516	13.4	3.267	-0.203
215	1059.731	23.0	3.330	0.086
216	1060.233	11.1	3.290	-0.007
217	1065.968	9.4	2.828	0.140
218	1067.158	13.7	2.874	0.022
219	1075.580	14.5	3.141	-0.589
220	1077.038	19.3	3.225	-0.783
221	1078.652	16.8	3.267	-0.492
222	1081.079	24.7	2.961	-0.133
223	1081.269	18.8	2.973	-0.049
224	1087.390	11.7	2.911	-0.073
225	1090.837	9.1	2.875	-0.273
226	1091.333	12.5	2.962	-0.179
227	1092.360	13.7	3.010	-0.056
228	1093.747	25.3	2.969	-0.088
229	1096.186	16.8	3.249	-0.330
230	1102.539	18.2	2.855	-0.309
231	1107.451	19.3	2.609	-0.470
232	1114.228	16.5	2.873	0.216
233	1117.019	13.4	3.101	0.696
234	1124.047	21.6	2.625	0.212
235	1125.558	19.3	2.702	0.085
236	1132.186	9.7	2.991	0.458
237	1133.883	20.5	2.921	0.283
238	1140.548	7.1	2.441	0.231
239	1150.045	10.8	3.042	0.276
240	1150.528	20.8	2.876	0.430
241	1151.359	24.2	2.693	0.385
242	1151.888	17.1	2.525	0.479
243	1153.777	11.9	2.460	0.568
244	1163.218	6.8	2.052	0.022
245	1163.322	26.5	2.017	-0.094
246	1176.346	19.1	1.739	-0.505
247	1176.980	31.6	1.706	-0.321
248	1179.330	29.9	1.864	-0.191
249	1179.692	15.1	1.957	-0.028
250	1190.021	33.6	1.556	-0.016
251	1197.640	24.7	2.112	-0.186
252	1202.628	23.9	2.488	0.057
253	1204.904	16.5	2.490	0.037
254	1215.663	35.3	1.708	0.635
255	1223.476	14.5	2.523	-0.413
256	1224.959	23.9	2.405	-0.396
257	1228.984	21.3	2.500	-0.014
258	1231.082	18.2	2.183	0.038
259	1239.902	16.8	2.703	-0.170
260	1249.504	17.4	2.733	-0.130
261	1259.099	21.9	2.766	-0.220
262	1261.197	28.7	2.689	-0.135
263	1262.992	8.2	2.780	-0.213
264	1270.013	13.7	2.775	-0.101
265	1271.128	3.7	2.514	-0.069
266	1273.156	20.5	2.313	-0.034
267	1274.086	24.5	2.356	-0.095
268	1275.558	17.4	2.557	-0.199
269	1279.459	15.9	2.660	-0.276
270	1282.363	29.3	2.440	-0.534
271	1283.962	25.0	2.853	-0.332
272	1284.539	12.2	2.925	-0.274
273	1288.644	17.9	2.983	-0.308
274	1294.366	12.5	3.923	-0.184
275	1295.278	19.3	3.695	-0.169
276	1295.753	18.8	3.616	-0.102
277	1299.389	23.3	2.656	-0.596
278	1300.415	13.9	2.754	-0.252
279	1301.022	11.1	2.621	-0.098
280	1306.750	17.1	2.976	0.580
281	1315.179	18.8	2.265	0.154
282	1315.220	23.6	2.273	0.204
283	1315.971	24.5	2.249	0.532
284	1317.595	18.5	2.370	0.302
285	1318.326	11.9	2.481	0.499
286	1323.347	26.7	1.744	0.496
287	1328.480	19.9	2.393	-0.510
288	1329.872	10.2	2.835	0.152
289	1330.431	16.2	3.058	0.195
290	1340.405	17.9	3.101	-0.364
291	1347.805	21.9	3.392	0.074
292	1348.784	14.5	3.463	-0.085
293	1349.210	15.1	3.492	-0.097
294	1349.938	9.7	3.623	0.012
295	1352.862	15.6	3.467	0.560
296	1355.403	15.6	3.800	0.389
297	1357.262	14.5	3.342	0.197
298	1358.014	19.9	3.138	0.252
299	1359.191	11.1	2.971	0.218
300	1360.154	18.8	3.011	0.154
301	1370.724	18.5	2.448	-0.194
302	1377.121	23.9	2.452	-0.035
303	1384.440	23.6	2.327	-0.011
304	1386.409	13.7	2.455	-0.097
305	1390.135	10.8	2.515	0.141
306	1390.158	20.5	2.452	0.169
307	1393.393	26.5	2.500	0.006
308	1396.193	12.8	2.704	-0.397
309	1398.276	21.6	2.737	-0.553
310	1399.599	20.2	2.934	-0.625
311	1401.500	18.2	3.059	0.076
312	1402.104	19.3	3.017	-0.146
313	1403.804	23.6	3.017	-0.209
314	1406.290	13.7	2.958	-0.441
315	1407.723	19.9	2.986	-0.402
316	1410.667	12.2	2.834	-0.738
317	1411.796	19.9	2.773	-0.706
318	1413.434	20.8	2.688	-0.610
319	1414.404	18.5	2.361	-0.365
320	1416.755	25.3	2.382	-0.134
321	1417.816	25.3	2.421	-0.114
322	1421.301	22.5	2.410	0.050
323	1422.711	16.5	2.470	-0.073
324	1423.669	21.3	2.386	-0.110
325	1433.054	24.5	2.463	0.222
326	1433.749	30.7	2.478	0.164
327	1439.637	22.5	2.180	-0.101
328	1443.583	25.3	2.452	-0.056
329	1445.652	34.1	2.282	-0.142
330	1450.682	20.5	1.899	0.499
331	1451.026	28.2	1.879	0.498
332	1452.268	32.1	1.802	0.559
333	1452.951	23.3	1.896	0.544
334	1460.556	25.9	2.371	-0.678
335	1461.450	18.8	3.029	-0.466
336	1461.910	11.4	3.181	-0.489
337	1467.986	15.6	2.585	0.154
338	1471.411	15.6	2.317	0.304
339	1475.866	17.4	2.136	0.266
340	1484.995	25.9	1.439	0.381
341	1485.448	31.0	1.399	0.483
342	1490.148	29.9	1.745	0.675
343	1495.679	14.5	2.398	0.656
344	1496.988	14.8	2.630	0.471
345	1502.720	11.1	3.316	-0.379
346	1503.253	17.4	3.057	-0.465
347	1509.191	18.8	3.313	0.240
348	1511.256	14.5	3.663	-0.245
349	1518.181	13.7	4.039	-0.102
350	1519.237	14.2	4.033	-0.102
351	1519.447	11.1	3.965	-0.098
