DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:43:26
-2050.000 mm;0.000 mm;70.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	9.075	15.6	1.566	0.759
2	37.516	7.7	3.007	0.253
3	41.018	12.5	2.586	0.300
4	45.204	5.1	3.451	0.092
5	50.753	15.9	3.037	0.166
6	61.482	17.1	3.114	0.217
7	71.091	16.5	3.187	0.246
8	71.677	14.5	3.139	0.313
9	73.318	13.4	3.253	0.279
10	75.100	12.2	3.111	0.199
11	81.616	13.1	2.991	0.204
12	98.253	11.4	3.513	-0.305
13	107.493	17.9	3.340	-0.174
14	124.558	15.4	2.911	-0.398
15	125.069	22.2	2.862	-0.410
16	129.286	17.9	3.139	0.138
17	129.913	8.0	3.080	-0.014
18	147.672	15.1	3.080	0.156
19	151.068	5.4	3.284	0.136
20	159.446	13.4	3.586	-0.016
21	165.588	22.5	3.104	0.353
22	167.689	24.5	3.111	0.281
23	169.273	22.8	3.155	0.273
24	173.173	17.4	3.110	0.020
25	177.725	16.8	2.924	0.244
26	190.898	14.2	3.522	-0.359
27	198.058	6.0	2.838	-0.129
28	208.464	20.2	2.731	0.305
29	224.084	19.9	2.312	0.365
30	230.921	25.0	2.837	0.215
31	234.628	5.1	2.994	0.290
32	238.856	18.2	3.326	-0.026
33	248.125	18.5	3.181	0.815
34	278.457	15.6	2.911	0.551
35	289.635	19.1	3.221	-0.031
36	297.424	16.2	3.233	-0.130
37	313.044	15.4	3.039	-0.042
38	322.122	18.8	3.141	-0.213
39	324.061	10.5	3.247	-0.082
40	327.428	21.0	3.104	-0.215
41	339.084	15.9	3.481	-0.387
42	342.975	8.0	3.650	-0.133
43	356.555	20.8	2.960	0.225
44	357.099	12.2	2.960	0.381
45	380.686	18.5	3.550	-0.213
46	384.346	16.5	3.749	0.088
47	393.679	10.5	3.290	0.253
48	394.859	16.5	3.144	-0.151
49	397.114	10.5	3.238	0.037
50	425.839	15.1	3.405	0.102
51	436.216	15.9	3.067	0.522
52	449.866	12.5	2.796	0.223
53	454.144	23.0	2.747	-0.222
54	458.354	15.9	3.071	-0.309
55	463.789	13.1	2.492	0.077
56	469.442	9.4	2.532	0.135
57	476.711	18.2	2.793	0.057
58	502.282	10.8	2.997	-0.077
59	506.698	11.1	2.813	-0.272
60	507.790	26.2	2.782	-0.167
61	512.916	18.5	2.905	-0.418
62	514.960	11.4	2.859	-0.130
63	519.954	14.5	2.947	-0.157
64	526.077	24.2	2.832	0.201
65	528.573	17.4	2.854	-0.539
66	529.138	19.9	2.920	-0.362
67	534.630	17.6	2.554	-0.389
68	544.019	31.3	2.051	-0.098
69	547.465	14.2	2.429	-0.354
70	547.847	19.3	2.374	-0.268
71	553.224	24.5	2.365	-0.071
72	561.965	23.3	2.358	0.021
73	565.549	16.8	2.665	-0.053
74	566.168	17.1	2.424	0.014
75	590.466	9.7	3.383	-0.404
76	597.601	23.0	3.108	0.087
77	598.821	17.9	3.336	0.187
78	601.624	10.5	3.960	-0.874
79	606.277	11.1	3.431	-0.835
80	609.805	16.8	3.329	-0.997
81	614.053	10.5	3.518	-0.070
82	624.331	7.7	3.491	-0.145
83	629.811	19.9	2.970	-0.204
84	639.708	19.3	2.823	-0.111
85	641.793	32.1	2.213	0.163
86	643.423	25.3	2.273	0.178
87	643.790	21.6	2.311	0.325
88	646.055	23.3	2.604	0.038
89	652.691	20.2	2.205	0.118
90	665.618	12.2	2.357	0.368
91	677.256	12.2	3.813	0.334
92	687.219	10.5	3.688	-0.153
93	690.800	16.2	3.560	-0.247
94	701.987	15.6	3.825	0.158
95	711.106	9.4	3.529	0.529
96	714.888	13.7	3.593	0.187
97	717.433	17.1	3.790	0.405
98	719.708	12.2	3.793	0.210
99	724.640	15.6	3.688	0.451
100	724.830	12.8	3.715	0.367
101	729.880	19.3	3.454	0.246
102	740.201	14.5	3.559	0.994
103	744.403	9.7	3.409	0.772
104	749.106	23.3	2.413	1.177
105	755.246	6.5	2.722	0.850
106	771.294	19.6	2.397	0.463
107	775.226	16.5	2.614	0.678
108	782.752	10.5	3.069	0.766
109	799.622	18.5	3.576	0.020
110	806.388	16.2	3.693	0.206
111	811.542	14.5	3.712	0.195
112	813.817	19.9	3.514	-0.003
113	814.517	14.5	3.637	-0.021
114	816.013	18.8	3.722	0.048
115	823.211	16.2	3.682	-0.058
116	823.592	5.7	3.767	0.034
117	823.752	18.2	3.706	0.246
118	824.994	10.8	3.862	0.261
119	833.858	17.1	3.793	-0.042
120	834.383	11.1	3.712	-0.040
121	841.008	19.6	3.646	-0.122
122	847.564	11.9	3.462	-0.451
123	849.296	18.8	3.531	-0.391
124	851.882	10.5	3.169	-0.159
125	852.704	17.9	3.125	-0.104
126	854.831	5.4	3.301	-0.101
127	857.542	9.1	3.438	-0.190
128	865.312	14.8	3.436	0.225
129	884.089	18.8	3.995	0.183
130	893.598	13.4	4.184	0.051
131	896.963	15.9	4.347	0.310
132	903.790	9.4	4.375	0.578
133	908.198	9.7	3.876	0.698
134	941.174	11.4	4.104	-0.532
135	943.401	19.3	3.850	-0.340
136	943.567	13.9	3.917	-0.413
137	948.204	11.9	3.977	-0.644
138	951.793	17.4	3.847	-0.870
139	954.162	12.2	4.051	-0.619
140	956.275	17.6	4.067	-0.619
141	960.664	8.5	3.736	-0.185
142	963.171	16.8	3.722	-0.617
143	969.425	11.7	3.418	-0.032
144	973.943	18.5	3.703	-0.455
145	977.678	12.5	3.847	-0.465
146	983.128	9.7	3.584	-0.493
147	993.544	12.2	3.530	-0.735
148	993.616	8.8	3.552	-0.635
149	1003.834	14.8	3.396	-0.357
150	1008.363	9.1	3.213	-0.368
151	1010.577	3.1	3.178	-0.299
152	1012.854	12.8	3.310	-0.091
153	1013.167	18.8	3.212	-0.141
154	1018.279	13.9	3.695	-0.510
155	1019.667	15.4	3.834	-0.267
156	1024.386	14.8	4.012	-0.406
157	1036.592	15.6	3.976	-0.992
158	1042.561	14.8	3.418	-1.453
159	1054.866	15.1	3.865	-0.577
160	1060.671	10.2	3.596	-0.734
161	1062.075	15.1	3.398	-0.927
162	1073.311	15.1	3.389	-1.041
163	1077.217	13.1	3.197	-0.564
164	1079.415	14.2	3.422	-0.441
165	1087.580	13.1	2.921	-0.038
166	1090.920	10.5	3.310	-0.165
167	1094.123	17.1	3.307	0.042
168	1097.302	17.9	3.317	-0.292
169	1100.077	5.1	3.464	-0.445
170	1112.507	17.9	3.201	-0.265
171	1123.867	16.2	3.224	-0.007
172	1131.198	21.6	3.372	-0.102
173	1135.765	21.0	3.288	0.189
174	1144.263	16.2	3.523	-0.168
175	1144.307	16.2	3.508	-0.199
176	1150.052	16.8	3.326	-0.191
177	1150.189	14.2	3.291	-0.214
178	1152.511	13.9	3.477	-0.270
179	1154.920	17.9	3.406	-0.228
180	1155.664	16.5	3.438	-0.228
181	1160.536	16.5	3.487	-0.116
182	1171.700	18.2	3.246	-0.006
183	1178.513	8.2	3.507	0.158
184	1178.830	15.1	3.670	0.278
185	1181.084	16.5	3.676	-0.054
186	1183.859	20.5	3.637	-0.253
187	1189.173	15.6	3.449	-0.265
188	1199.344	6.8	3.924	-0.079
189	1212.867	10.5	4.174	-0.454
190	1223.168	9.1	3.796	-0.220
191	1225.221	13.1	3.830	-0.008
192	1231.750	15.4	3.686	-0.528
193	1237.761	13.9	3.747	-0.701
194	1245.332	13.7	3.531	-0.434
195	1247.388	15.6	3.530	-0.304
196	1251.752	11.4	3.439	-0.504
197	1257.889	15.1	3.446	-0.170
198	1270.269	10.5	3.290	-0.131
199	1272.554	19.3	3.295	-0.250
200	1274.595	17.9	3.441	-0.131
201	1278.069	14.8	3.361	-0.166
202	1285.511	17.6	3.234	0.015
203	1294.881	12.2	3.304	0.048
204	1309.058	10.0	3.285	-0.338
205	1310.159	16.2	3.373	-0.413
206	1314.632	17.6	3.620	-0.509
207	1318.699	11.7	3.771	-0.447
208	1320.156	14.8	3.708	-0.003
209	1323.700	11.4	3.738	-0.279
210	1325.806	10.2	3.676	0.150
211	1326.917	13.9	3.547	0.108
212	1330.286	13.4	3.484	-0.056
213	1333.749	16.2	3.271	-0.174
214	1342.248	8.0	3.515	-0.237
215	1355.761	16.8	3.868	0.075
216	1359.996	15.9	3.457	-0.313
217	1362.533	15.6	3.570	-0.498
218	1364.376	13.4	3.429	-0.434
219	1364.699	19.9	3.507	-0.440
220	1370.208	21.6	3.304	-0.175
221	1385.122	5.7	3.358	0.095
222	1385.968	10.5	3.310	0.052
223	1386.023	16.5	3.333	0.056
224	1396.600	23.3	2.925	-0.215
225	1398.793	26.2	2.861	-0.077
226	1399.272	15.6	2.934	-0.001
227	1406.992	28.4	2.953	0.126
228	1415.495	14.5	3.271	-0.182
229	1431.140	19.3	3.053	-0.152
230	1442.111	15.9	3.257	-0.352
231	1476.400	3.7	3.420	-0.048
232	1477.935	13.1	3.248	0.071
233	1483.531	15.1	3.372	-0.072
234	1489.011	13.9	3.403	-0.050
235	1492.290	17.1	3.373	-0.249
236	1492.387	13.7	3.360	-0.226
237	1507.906	21.3	3.291	0.005
238	1512.480	17.1	3.492	-0.193
239	1518.686	18.2	3.571	-0.438
240	1523.786	16.2	3.666	-0.548
241	1528.662	18.5	3.992	-0.157
242	1540.048	15.4	3.798	-0.259
243	1543.588	12.2	3.784	-0.662
244	1547.418	17.1	3.774	-0.673
245	1560.033	8.2	3.487	-0.259
246	1562.041	11.4	3.821	-0.565
247	1565.336	18.2	3.854	-0.271
248	1574.979	6.0	3.778	-0.477
249	1577.562	14.5	3.725	-0.625
250	1579.212	10.5	3.833	-0.751
251	1608.986	21.3	2.892	0.195
