DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:58:48
-2050.000 mm;0.000 mm;120.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	1.682	19.9	3.940	-0.163
2	1.738	9.7	4.005	-0.100
3	2.059	6.5	3.921	-0.265
4	3.276	17.1	3.880	-0.265
5	8.097	12.2	4.105	-0.243
6	13.068	15.9	4.130	-0.317
7	14.206	9.1	4.022	-0.265
8	16.516	11.1	4.024	-0.084
9	17.421	18.5	3.945	-0.067
10	19.056	13.7	3.950	-0.020
11	22.538	13.7	4.484	-0.435
12	24.147	9.4	4.347	-0.867
13	29.356	6.0	4.338	-0.528
14	29.535	8.5	4.391	-0.596
15	30.088	5.4	4.202	-0.522
16	33.342	15.9	3.922	-0.577
17	33.606	15.1	3.894	-0.489
18	33.961	8.5	3.510	-0.463
19	36.827	16.5	3.546	-0.460
20	36.951	14.8	3.544	-0.440
21	37.430	19.3	3.493	-0.565
22	38.489	6.8	3.762	-0.398
23	39.216	19.1	3.630	-0.555
24	39.392	10.0	3.748	-0.517
25	40.553	10.5	3.629	-0.104
26	41.455	13.9	3.409	-0.225
27	43.131	15.6	3.805	-0.391
28	45.654	13.7	3.936	-0.181
29	46.741	10.0	4.042	-0.418
30	46.826	11.4	3.931	-0.423
31	47.254	14.8	4.025	-0.422
32	49.780	15.6	3.566	-0.536
33	53.729	9.1	3.892	-0.073
34	54.205	13.4	3.926	-0.082
35	58.081	16.5	4.110	0.044
36	59.231	10.2	4.213	0.039
37	59.261	4.3	4.055	-0.045
38	60.404	14.8	4.159	0.070
39	61.422	13.1	4.019	0.172
40	63.922	18.2	4.213	0.050
41	65.170	12.2	4.114	0.094
42	67.441	18.2	3.889	0.267
43	69.003	11.7	3.894	-0.034
44	69.285	13.4	4.020	-0.017
45	71.593	21.9	4.184	-0.197
46	72.582	11.1	4.141	-0.278
47	72.914	15.6	4.021	-0.244
48	73.218	8.0	4.197	-0.176
49	75.930	11.4	3.524	-0.166
50	78.509	12.5	3.438	-0.293
51	79.272	18.2	3.441	-0.040
52	83.439	15.6	3.323	-0.280
53	87.779	10.0	3.227	-0.067
54	91.937	8.5	3.622	-0.531
55	97.325	13.7	3.395	0.051
56	97.725	12.2	3.403	0.007
