DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:52:39
-2050.000 mm;0.000 mm;100.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	1.030	15.9	2.980	-0.384
2	2.096	23.3	2.865	-0.575
3	2.938	16.2	2.851	-0.527
4	5.224	25.6	2.839	-0.623
5	5.635	11.4	2.803	-0.677
6	10.943	15.4	2.408	-0.910
7	11.773	15.9	2.661	-0.794
8	13.252	20.8	2.908	-0.512
9	13.622	21.0	3.167	-0.734
10	14.902	17.4	3.115	0.150
11	15.688	21.9	2.828	0.450
12	16.507	25.3	2.979	-0.156
13	17.008	14.2	3.294	0.146
14	19.368	10.2	3.228	0.527
15	21.503	10.2	3.015	0.759
16	22.251	25.6	2.918	0.854
17	24.534	10.2	2.960	1.147
18	27.237	12.2	2.882	1.130
19	34.694	16.8	3.390	-0.001
20	36.373	9.1	3.471	0.182
21	36.883	15.1	3.413	-0.002
22	37.316	13.9	3.552	0.256
23	38.360	15.1	3.875	0.424
24	39.756	14.2	3.685	0.602
25	41.353	6.8	2.641	0.293
26	49.602	20.2	2.463	0.472
27	49.670	21.9	2.456	0.449
28	50.709	13.7	2.418	0.475
29	52.342	17.1	2.235	0.327
30	53.342	24.7	2.509	0.400
31	53.716	26.2	2.580	0.226
32	60.655	27.6	2.696	-0.108
33	63.546	14.5	3.622	0.213
34	64.322	14.5	3.744	0.204
35	67.386	14.5	3.049	-0.206
36	69.712	26.2	2.677	0.031
37	71.652	9.1	2.766	0.134
38	75.441	15.1	2.976	0.061
39	76.338	16.8	3.024	0.190
40	78.085	17.6	2.889	0.273
41	78.321	21.0	2.849	0.164
42	79.424	13.7	2.851	0.170
43	79.451	17.9	2.846	0.174
44	80.534	19.1	2.988	-0.018
45	83.183	19.1	2.942	0.204
46	84.829	23.3	2.770	0.331
47	86.012	23.0	2.871	0.319
48	88.421	16.5	2.594	0.171
49	94.094	24.5	2.167	0.240
50	94.219	33.0	2.113	0.228
51	96.546	17.9	2.275	0.517
52	97.457	13.7	2.269	0.534
53	100.179	19.6	2.350	-0.051
54	103.814	10.0	2.644	0.617
55	104.117	21.9	2.754	0.643
56	106.091	6.5	3.073	-0.220
57	106.153	11.4	3.033	-0.230
58	107.957	11.1	2.965	-0.057
59	108.287	17.4	2.960	-0.142
60	108.822	11.1	2.798	-0.262
61	108.949	24.5	2.864	-0.351
62	111.361	23.3	2.790	-0.350
63	113.701	16.5	2.860	-0.131
64	114.845	8.8	3.095	-0.055
65	116.341	15.9	2.837	0.112
