DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
12:35:56
-2050.000 mm;0.000 mm;350.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	2.145	10.2	4.126	-0.205
2	3.816	14.2	4.118	-0.360
3	9.962	9.7	4.148	-0.199
4	24.377	4.3	4.234	-0.730
5	29.236	11.7	4.199	-0.532
6	30.810	9.1	4.231	-0.564
7	38.438	8.5	4.366	-0.082
8	63.529	12.5	4.342	0.102
9	68.894	6.0	4.060	-0.002
10	69.165	10.8	4.058	-0.032
11	82.015	5.4	4.232	-0.634
12	128.940	6.3	4.687	-0.393
13	130.202	15.6	4.625	-0.387
14	132.220	8.2	4.793	-0.471
15	134.105	10.5	4.630	-0.670
16	136.764	7.7	4.721	-0.887
17	137.145	11.1	4.698	-0.778
18	145.733	13.9	4.429	-0.478
19	146.791	8.2	4.519	-0.326
20	152.757	12.8	4.372	-0.485
21	155.793	18.8	4.135	-0.467
22	159.665	9.1	4.002	-0.443
23	164.776	11.9	4.271	-0.292
24	167.719	12.5	4.178	-0.732
25	167.827	9.4	4.225	-0.840
26	168.948	9.1	4.184	-0.824
27	170.923	15.6	4.044	-0.690
28	173.066	3.4	4.104	-0.633
29	173.813	14.2	4.188	-0.568
30	175.911	10.8	4.164	-0.423
31	186.926	13.1	4.172	-0.010
32	190.642	12.2	4.210	-0.003
33	198.078	14.8	4.095	-0.027
34	205.195	11.4	4.174	-0.021
35	212.455	19.9	3.890	-0.076
36	216.740	15.9	4.037	-0.233
37	217.653	4.3	3.941	-0.238
38	222.332	10.0	4.220	-0.133
39	223.475	5.1	4.208	-0.126
40	226.410	14.2	4.113	-0.180
41	237.444	10.8	3.980	-0.003
42	238.860	8.2	4.002	0.047
43	250.780	13.7	3.649	-0.004
44	253.678	11.7	3.705	0.265
45	256.631	12.8	3.917	-0.163
46	258.018	12.2	3.968	0.072
47	261.598	11.9	4.462	0.126
48	263.285	12.5	4.227	0.154
49	265.973	14.8	4.070	0.306
50	271.484	9.7	4.203	0.167
51	273.401	7.4	4.324	0.087
52	274.325	11.9	4.517	-0.037
53	274.481	11.7	4.493	-0.063
54	274.786	7.1	4.460	-0.092
55	275.531	11.1	4.551	-0.018
56	278.317	8.8	4.484	-0.211
57	280.018	10.2	4.482	-0.209
58	282.923	17.1	4.642	-0.119
59	283.389	11.7	4.644	-0.205
60	285.300	15.4	4.488	-0.243
61	285.603	10.0	4.443	-0.231
62	287.988	10.5	4.662	-0.230
63	291.268	16.5	4.407	-0.195
64	293.715	8.0	4.421	-0.365
65	293.913	12.8	4.484	-0.328
66	294.197	10.0	4.377	-0.262
67	297.069	10.5	4.396	0.149
68	297.794	19.3	4.167	-0.038
69	298.279	17.9	4.190	-0.171
70	305.180	14.2	3.957	-0.484
71	308.499	13.1	3.757	-0.360
72	311.696	13.7	4.004	-0.225
73	314.388	19.9	3.988	-0.086
74	316.115	13.4	3.952	-0.152
75	325.798	13.4	4.205	-0.307
76	325.833	11.7	4.213	-0.287
77	328.671	7.7	4.022	-0.192
78	329.352	12.5	3.987	-0.218
79	333.123	12.2	3.900	-0.363
80	335.758	12.5	3.821	-0.328
81	336.602	12.8	3.854	-0.284
82	346.627	14.2	3.770	-0.254
83	353.637	21.0	3.777	-0.233
84	366.939	13.9	3.555	0.356
85	368.039	15.4	3.463	0.327
