DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
12:23:30
-2050.000 mm;0.000 mm;250.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	3.982	17.6	3.988	0.374
2	7.499	6.8	3.934	0.087
3	11.729	17.6	3.699	0.046
4	13.113	9.7	3.624	-0.133
5	20.610	10.8	3.850	-0.352
6	25.718	17.1	3.990	-0.303
7	28.615	6.5	4.121	-0.164
8	29.483	13.9	4.319	-0.116
9	30.336	13.4	4.347	-0.363
10	32.558	8.2	4.180	-0.587
11	34.391	13.7	4.232	-0.545
12	35.366	11.1	4.127	-0.518
13	49.199	7.4	3.938	-0.357
14	50.168	13.4	3.780	-0.433
15	50.880	13.9	3.745	-0.462
16	56.551	10.8	3.870	0.001
17	59.438	9.1	3.834	-0.255
18	73.094	17.9	3.922	0.124
19	77.192	11.7	3.784	0.100
20	80.055	14.5	3.697	0.164
21	80.707	14.8	3.742	0.123
22	81.983	13.4	3.752	0.060
23	83.407	14.8	3.787	0.056
24	94.017	10.2	4.045	0.145
25	94.618	14.2	4.003	0.120
26	95.710	14.2	4.054	0.129
27	95.731	15.1	3.979	0.133
28	100.919	9.1	3.913	-0.032
29	112.857	17.4	3.649	-0.321
30	116.959	15.1	3.640	-0.286
31	127.654	15.1	3.619	-0.277
32	141.063	15.6	4.057	-0.432
33	141.507	9.4	4.174	-0.644
34	143.423	15.1	4.133	-0.488
35	149.241	10.2	4.052	-0.199
36	156.007	10.2	3.927	-0.409
37	169.133	13.7	4.022	-0.392
38	172.389	8.2	4.104	-0.092
39	174.400	15.4	4.200	-0.065
40	177.253	19.1	4.196	-0.407
41	181.939	11.1	4.464	-0.333
42	184.904	14.5	4.303	-0.222
43	185.523	12.2	4.310	-0.440
44	187.420	11.4	4.450	-0.589
45	187.817	12.5	4.468	-0.674
46	190.010	7.4	4.462	-0.391
47	191.267	7.7	4.549	-0.378
48	191.551	12.8	4.509	-0.447
49	192.360	11.9	4.522	-0.148
50	194.145	13.7	4.442	-0.382
51	196.881	8.0	4.786	-0.332
52	225.519	10.0	4.575	-0.195
53	229.793	12.2	4.484	-0.234
54	235.695	12.8	4.376	-0.374
55	240.713	16.5	4.529	-0.344
56	244.911	11.4	4.423	-0.389
57	246.696	7.4	4.626	-0.220
58	250.248	7.7	4.384	0.085
59	260.496	18.5	4.215	0.012
60	266.375	14.8	4.787	-0.480
61	268.189	7.1	4.821	-0.151
62	268.655	12.2	4.792	-0.187
63	269.809	10.0	4.596	-0.418
64	277.745	11.7	4.612	-0.432
65	279.837	16.2	4.766	-0.511
66	281.172	17.1	4.857	-0.647
67	286.455	6.5	4.719	-0.511
68	287.331	11.4	4.795	-0.381
69	288.506	11.7	4.748	-0.424
70	289.358	11.7	4.669	-0.493
71	291.866	8.8	4.677	-0.448
72	298.460	15.6	4.624	-0.230
73	298.733	11.7	4.601	-0.223
74	300.128	11.1	4.558	-0.207
75	301.160	12.5	4.621	-0.315
76	310.137	7.7	4.723	-0.600
77	315.730	10.8	4.742	-0.434
78	322.694	14.8	4.574	-0.748
79	333.865	13.4	4.430	-0.104
80	336.252	12.5	4.429	-0.108
81	336.446	8.2	4.418	0.004
82	336.664	12.2	4.463	0.051
83	338.055	11.4	4.377	0.052
84	339.264	10.8	4.240	0.130
85	339.316	6.5	4.351	0.086
86	346.038	11.9	4.229	0.073
87	346.538	16.8	4.144	0.072
88	352.365	14.8	3.965	0.040
89	353.787	14.8	3.718	-0.099
90	353.975	15.6	3.624	-0.127
91	365.404	13.7	4.086	-0.825
92	368.707	5.4	4.086	-0.675
93	375.958	11.1	4.183	-0.373
94	381.764	15.1	3.926	-0.492
95	385.540	14.5	3.882	-0.291
96	398.651	17.4	3.500	0.019
97	399.836	10.2	3.421	0.117
98	403.652	13.1	3.933	0.143
99	405.177	10.0	3.889	0.261
100	408.673	17.1	3.707	-0.156
101	414.740	11.4	3.783	0.551
102	416.283	11.4	3.593	-0.082
103	417.104	15.6	3.671	0.198
104	419.147	12.8	3.777	0.266
105	419.832	14.8	3.962	0.398
106	421.885	10.8	3.807	-0.014
107	423.736	4.6	3.886	-0.029
108	426.785	13.9	4.050	0.012
109	433.361	17.4	4.259	-0.208
110	434.990	15.1	3.972	-0.172
111	435.292	13.1	3.878	-0.153
112	435.441	13.4	3.914	-0.110
113	437.222	14.2	3.829	0.197
114	438.856	10.2	4.272	0.251
115	439.200	13.1	4.326	0.283
116	439.627	12.8	4.418	0.010
117	444.119	13.1	3.805	0.844
118	444.359	12.8	3.846	0.693
119	447.527	10.8	3.668	0.221
120	448.784	15.4	4.021	-0.189
121	460.106	13.1	3.909	0.142
122	463.065	12.2	4.333	-0.076
123	464.331	4.6	4.384	0.051
124	468.193	9.4	4.344	0.379
125	474.131	15.1	4.464	0.305
126	474.495	15.1	4.502	0.292
127	477.568	7.4	4.381	0.248
128	481.110	13.7	4.451	-0.195
129	481.548	6.0	4.565	-0.211
130	482.928	12.2	4.576	-0.106
131	483.445	12.2	4.661	-0.181
132	485.887	10.2	4.572	-0.127
133	487.360	9.1	4.439	-0.154
134	487.472	10.2	4.482	-0.138
135	488.741	9.4	4.407	-0.260
136	495.961	15.9	4.259	-0.387
137	499.743	19.3	3.991	-0.508
138	500.572	13.4	4.015	-0.372
139	503.622	10.5	3.932	-0.297
140	503.929	10.2	4.044	-0.486
141	503.961	10.5	4.155	-0.531
142	504.686	15.9	4.031	-0.514
143	508.331	10.8	3.999	-0.605
144	512.913	10.2	4.005	-0.574
145	512.994	14.8	4.047	-0.689
146	516.477	23.6	3.747	-0.551
147	517.241	14.5	3.612	-0.075
148	517.343	11.9	3.559	-0.070
149	520.086	18.5	4.141	-0.209
150	529.952	13.7	3.799	-0.782
151	531.362	5.4	3.794	-0.317
152	533.716	12.5	3.679	0.072
153	536.427	15.6	3.504	0.290
154	538.092	10.0	3.534	0.029
155	538.112	16.8	3.526	0.042
156	543.810	15.6	3.439	0.360
157	544.787	8.5	3.437	0.140
158	545.862	13.9	3.649	0.735
159	546.211	16.2	3.562	0.524
160	550.030	17.1	3.687	-0.117
161	552.305	8.2	3.685	-0.102
162	553.156	14.5	3.556	-0.261
163	561.485	14.8	3.788	0.031
164	563.263	9.4	3.721	0.029
165	565.644	12.5	3.528	0.003
166	566.643	12.2	3.525	0.023
167	568.154	18.2	3.569	0.185
168	568.324	11.4	3.587	0.159
169	570.905	7.7	3.766	0.036
170	571.980	12.8	3.419	0.012
